3rd St.	3rd St.
To do something to one of your inventory items, first click here, then click on the item.	要對物品欄裡的某樣東西做點什麼，先點這裡，再點該物品。
To learn about the other icons in this window, first click here, then click the question mark on the icon you wish to learn about.	要了解這個視窗裡其他圖示的用途，先點這裡，再點你想了解的圖示上的問號。
To look more closely at one of the inventory items, first click here, then click on the item of interest.	要仔細查看物品欄裡的某樣東西，先點這裡，再點你感興趣的物品。
Click here to close this window and return to game.	點這裡關閉這個視窗，回到遊戲。
To use one of your inventory items in the game, first click here, then click on the item, then click on OK.	要在遊戲中使用物品欄裡的某樣東西，先點這裡，再點該物品，然後點「確定」。
Ms. Helmut's license has a great photo. Yours sure didn't come out this well. What happened?	Helmut 小姐駕照上的照片拍得真好看。你的照片可沒這麼好看。是發生了什麼事嗎？
Black, sleek, and solid, it's the PR-24 nightstick.	黑色、造型俐落又堅固，這是 PR-24 警棍。
It's departmental issue pen - always ready for that record ticket-writing day.	這是局裡發的原子筆——隨時準備好應付開罰單開到手軟的日子。
I bet you never thought you'd be using this stuff. Of course, you probably never thought you'd be using a blow dryer and hair spray to keep that fine 'do in place.	我敢說你從沒想過自己會用上這種東西。當然啦，你大概也沒想過自己會用吹風機和髮膠來固定那頭好髮型。
It's your patrol unit key.	這是你巡邏車的鑰匙。
Your radio extender can be one of your best friends.	你的無線電延長器可能會是你最好的朋友之一。
Your ticket book is full of tickets itching to be written.	你的罰單本裡塞滿了等著被開出去的罰單。
You don't think handing out a ticket is going to do anything to solve your problems.	你不覺得開一張罰單能解決什麼問題。
Hmm... Good idea Bond's but do you think this guys really going to drive any safer AFTER you've given him a ticket? What this guy really needs is a night in the can.	嗯……好主意，Bonds，但你覺得開了罰單之後，這傢伙開車真的會變得比較安全嗎？這傢伙真正需要的是去局子裡蹲一晚。
C'mon Sonny. Fair is fair. She did run that stop sign but don't you think one ticket is enough?	拜託，Sonny。公平歸公平，她確實闖了那個停止標誌，但你不覺得一張罰單就夠了嗎？
Mustering all your willpower to stare down at your ticket book, you shakely make out a ticket.	你使出全副意志力盯著罰單本，顫抖著開出一張罰單。
You should follow correct police procedures before issuing a ticket.	開罰單前，你應該遵循正確的警察程序。
It's a ticket with her name on it. She'll be so grateful to you.	這是一張寫著她名字的罰單。她一定會對你感激不盡。
That won't be effective now.	現在這麼做不會有用。
It's your secret transmitter disquised as a fountain pen.	這是你偽裝成鋼筆的秘密發報器。
It's the key to your unmarked unit.	這是你無標誌車的鑰匙。
It's your wallet. I'll bet you wish it packed a little more heft.	這是你的皮夾。我敢說你希望它能再厚一點。
It's an FBI Top Ten Most Wanted Fugitives poster for Jason Taselli. It contains a complete description.	這是一張 Jason Taselli 的 FBI 十大通緝要犯海報，上面有完整的描述。
any old garbage.	隨便什麼破爛東西。
It's a warrant to keep that bile heap, Taselli in jail.	這是一張把那堆人渣 Taselli 關進監獄的拘票。
You can't fly.	你不會飛。
I'd leave that plant alone if I were you, Bonds. It looks hungry.	Bonds，如果我是你，我會別去碰那株植物。它看起來餓壞了。
The flowers are shy. They don't answer.	這些花很害羞，不會回應你。
Bert would be very unhappy with you if you picked his flowers.	要是你摘了 Bert 的花，他一定會很不高興。
The grass is used to being stepped on. It's afraid to answer.	這片草地已經習慣被踩了。它怕得不敢回答。
You don't need to pick the grass. Leave the poor grass alone.	你不需要去拔草。別去煩這片可憐的草地。
Hugging trees is nice, isn't it.	抱抱樹很不錯，對吧。
The pine tree says: "Is it Christmas yet? I'm headin' for Mexico when November hits, man. I'm outta here."	這棵松樹說：「聖誕節到了沒？十一月一到我就要去墨西哥了，老兄。我要閃人了。」
Hug a tree, not the concrete.	抱棵樹吧，別抱水泥地。
Why would you play in the street when you could play in the grass?	明明可以在草地上玩，你幹嘛跑去街上玩？
the dense green bushes could conceal almost anything.	這片茂密的綠色灌木叢幾乎能藏住任何東西。
You hear rustling in the bushes.	你聽見灌木叢裡傳來窸窣聲。
You shake the bushes vigorously, scaring the Hell out of a gopher.	你用力搖晃灌木叢，把一隻地鼠嚇得半死。
Okay, Sonny, we've been given a tip that a drug purchase is going to occur in the park this afternoon. What we need to do is this: You go straight into the park, and position yourself so that you can watch the bench without being observed. I'll go around the side and cover the park's other entrance. Any questions?	好了，Sonny，我們接到線報，今天下午會有一筆毒品交易在公園裡進行。我們要做的是：你直接進公園，找個能在不被發現的情況下盯著長椅的位置。我會繞到側邊，守住公園的另一個入口。有問題嗎？
No...Geez Laura, I used to play in this park when I was a kid. We used to come here to neck when I was in high school. This is kind of sad.	沒有……天啊 Laura，我小時候常在這座公園玩。念高中的時候我們還會來這裡親熱。這感覺有點感傷。
It sure as hell is. There are more dealers than ever, and they're meaner and more vicious than ever. Lytton is changing, Sonny. Anyway, let's not waste time. Go on in, I'll see you later.	可不是嘛。毒販比以前更多，也比以前更兇狠、更惡毒。Lytton 正在變，Sonny。總之，別浪費時間了。你進去吧，待會見。
Bite me. I don't have to say nothin' to you, bitch.	去死吧。老娘什麼都不用跟你講，賤人。
Kiss my ass.	親我屁股啦。
Delete	刪除
Replace	取代
Are you sure you want to delete this saved game?	你確定要刪除這個存檔嗎？
%s is not a valid directory.	%s 不是有效的目錄。
with:	取代為：
GAME	遊戲
Insert the %s disk in drive %s.	請把 %s 磁片插入磁碟機 %s。
SAVE GAME	儲存進度
%d.nor	%d.nor
[control $%x]	[control $%x]
class: %s view: %d loop: %d cel: %d posn: %d %d %d heading: %d pri: %d signal: $%x illBits: $%x	class: %s view: %d loop: %d cel: %d posn: %d %d %d heading: %d pri: %d signal: $%x illBits: $%x
name: %s view: %d loop: %d cel: %d posn: %d %d %d heading: %d pri: %d signal: $%x illBits: $%x OnControl: $%x Origin on: $%x	name: %s view: %d loop: %d cel: %d posn: %d %d %d heading: %d pri: %d signal: $%x illBits: $%x OnControl: $%x Origin on: $%x
name: %s number: %d current pic: %d style: %d horizon: %d north: %d south: %d east: %d west: %d script: %s	name: %s number: %d current pic: %d style: %d horizon: %d north: %d south: %d east: %d west: %d script: %s
Position: %d, %d	Position: %d, %d
%s.mem	%s.mem
%s.log	%s.log
Log file "%s" exists	Log file "%s" exists
QA-COMMENT%d	QA-COMMENT%d
Comment line %d of %d:	Comment line %d of %d:
%ssg.dir	%ssg.dir
T 9nvY	T 9nvY
J zx8	J zx8
xe 2T	xe 2T
e"9(xg 9	e"9(xg 9
xv9 x[	xv9 x[
xg C%	xg C%
e 9nvrz	e 9nvrz
xg T	xg T
xg C	xg C
xvc J	xvc J
vc J	vc J
H3+xg C	H3+xg C
e 9ovW	e 9ovW
e 9ovW:	e 9ovW:
e xg,C	e xg,C
