A few condos.	幾間公寓大樓。
A few stores of the Mom-and-Pop variety, doing the best they can against the larger chain stores and mall stores.	幾家夫妻檔小店，努力在大型連鎖店和購物中心店家的夾擊下求生存。
An area of fancy, trendy little boutiques.	一區時髦又新潮的精品小店。
Expensive little townhouses.	昂貴的小型連棟別墅。
One of those 20-buck-a-night motels. You've been called there many times; the security at these places is nonexistent. Lots of assaults, burglaries, and even rapes.	那種一晚二十塊的汽車旅館。你被叫去那裡處理過很多次；那種地方根本沒有保全可言，鬥毆、竊盜案，甚至強暴案層出不窮。
A lot that was apparently used for farming at one time; it doesn't do very well underneath Highway 41, though.	一塊看起來曾經是農地的空地；不過長在 Highway 41 橋下，長得不怎麼好。
Part of the Lytton Village Green in the center of town. It's a nice, peaceful, lightly wooded area with a stream, and its proximity to the police station keeps it relatively safe.	市中心 Lytton 村莊綠地的一部分。這是一片寧靜宜人、林木稀疏的區域，還有一條小溪流過，加上離警局近，治安相對較好。
Some of Lytton's best-maintained and oldest stores and shops.	Lytton 保存最好、歷史最悠久的一些商店。
A few stores, particularly those that cater to highway travellers.	幾家商店，特別是那些做公路旅客生意的店家。
A mini-mall.	一座小型購物中心。
A grassy vacant lot, not a very safe place to hang out.	一塊長滿雜草的空地，不是個適合閒晃的安全地方。
One of Lytton's newer office buildings. It's hoped that an influx of business will help the area pick up a bit.	Lytton 較新的辦公大樓之一。大家都希望湧入的商機能帶動這一區繁榮起來。
The south end of Lytton's Village Green. Businesspeople from the surrounding blocks often eat lunch out here, and at night it's largely deserted.	Lytton 村莊綠地的南端。周邊街區的上班族常在這裡吃午餐，到了晚上這裡幾乎空無一人。
One of the new industrial parks.	新建的工業園區之一。
Ramps on and off Highway 41 can be found here.	這裡可以找到 Highway 41 的上下匝道。
A pumping station.	一座抽水站。
A gas station and mini-mart, catering to highway traffic.	一間加油站兼便利商店，服務公路上的車流。
One of the agribusinesses in the industrial park to the northeast owns and maintains greenhouses here.	東北方工業園區裡的一家農業企業，在這裡擁有並維護溫室。
The Lytton Convention Center. It's usually vacant, since Lytton hasn't been able to attract much convention business.	Lytton 會展中心。這裡通常空蕩蕩的，因為 Lytton 一直招攬不到多少會展生意。
Stores, shops and restaurants that cater to the businesses surrounding them. Lots of businesspeople, conventioneers, and lawyers.	服務周邊企業的商店、店鋪和餐廳。到處都是上班族、參展人士和律師。
Lytton's biggest and swankiest mall. If a foreign power ever wanted to wipe out Lytton with one fell swoop, they'd target this mall on any weekend.	Lytton 最大、最豪華的購物中心。要是哪個外國勢力想一舉端掉整個 Lytton，隨便挑個週末鎖定這座商場就行了。
Some of Lytton's best-maintained and oldest shops and stores.	Lytton 保存最好、歷史最悠久的一些店鋪。
The Lytton Police Station.	Lytton 警察局。
Some of Lytton's older office buildings.	Lytton 比較老舊的一些辦公大樓。
Bert's Park, named for the kindly caretaker who maintained the Park for over 45 years. The park was originally called, simply, Lytton City Park. It's still a beautiful, well-tended park, but it's been getting a bad reputation as unsafe, especially at night.	Bert's Park，得名自那位悉心照料這座公園超過 45 年的和藹管理員。這座公園原本就只是簡單地叫做 Lytton City Park。它至今仍是一座美麗、維護良好的公園，但近來名聲不太好，被認為不太安全，尤其是在晚上。
The Sandburg Villa Apartment complex, catering to yuppies and upwardly mobile DINK couples.	Sandburg Villa 公寓社區，主要服務雅痞和力爭上游的頂客族夫妻。
The Wilson Arms, high-security apartments for the conspicuous consumer.	The Wilson Arms，專為愛炫耀的消費族群打造的高安全性公寓。
Offices and stores.	辦公室與商店。
Stores, shops and restaurants that cater to the business surrounding them. Lots of businesspeople, conventioneers and lawyers.	服務周邊企業的商店、店鋪和餐廳。到處都是上班族、參展人士和律師。
The Lytton City Courthouse.	Lytton 市法院。
The Lytton County Jail.	Lytton 郡監獄。
Cotton Cove, a small alternative park and annex to Bert's Park.	Cotton Cove，Bert's Park 旁的一座小型附屬公園。
You slam on your brakes, barely in time to avoid mashing into the side of a car that appears to be operated by a very DUI driver traveling at about 50mph down heavily-populated city streets.	你猛踩煞車，堪堪來得及避免撞上一輛車身側面——那輛車看起來是一名酒駕嚴重的駕駛，正以時速約 50 英里的速度在人潮密集的市區街道上狂飆。
With caution so as to not panic the obviously intoxicated motorist, you slowly edge him over to the curb.	為了不驚動這位明顯醉醺醺的駕駛，你小心翼翼地把他逼向路邊。
There he is! Good work Bonds! You managed to intercept the stolen car.	他在那裡！幹得好，Bonds！你成功攔截了這輛贓車。
With a building rush of adrenaline, you cautiously pace the stolen car, following it closely as it pulls over to the curb.	隨著腎上腺素節節升高，你小心地跟上這輛贓車，緊貼在後，直到它靠邊停下。
You barely stop in time to see an incredible honey-blond blow through the intersection at warp 9.	你差點來不及煞車，就看到一位美豔動人的金髮女子，以宛如「warp 9」的超光速衝過路口。
With a flush of anticipation -- and an impending sense that your shyness is going to ruin a potentially mind-altering encounter -- you pull over the speeding woman.	帶著一陣期待的紅暈——同時隱隱擔心自己的害羞個性會搞砸這場可能讓你腦袋一片空白的邂逅——你把這位超速的女子攔了下來。
This is your right turn signal icon. Click the HAND cursor on this icon to signal and turn right at the upcoming intersection or driveway.	這是你的右轉方向燈圖示。用手形游標點擊這個圖示，即可在前方路口或車道打右轉燈並右轉。
Your siren is currently on.	你的警笛目前是開啟的。
You don't have time to be lounging around at the park, Bonds.	Bonds，你沒空在公園裡閒晃。
This ramp is only for exiting the freeway.	這條匝道只能用來駛離高速公路。
You've completely missed your chance to apprehend an extremely dangerous figure in Lytton's burgeoning crime world.	你已經徹底錯失逮捕 Lytton 犯罪世界裡一名極度危險人物的機會。
Despite your taking your own sweet time in cornering the stolen car, using an inefficient approach, you somehow manage to catch up with it and pull it over.	儘管你慢條斯理、用了很沒效率的方式去包抄這輛贓車，你還是設法追上並把它攔了下來。
A stop at the Cove isn't on your agenda, Bonds. Return to duty.	Bonds，去 Cove 逛逛不在你的行程上。回去執勤。
When you're transporting suspects, they should be brought directly to the Lytton County Jail. Regulations prohibit you from making other stops unless told to do so by Dispatch.	當你在押送嫌犯時，應該直接把他們送到 Lytton 郡監獄。除非調度另有指示，規定禁止你中途繞去其他地方。
It's the squad car's speedometer, showing speed in kilometers and mph. One of these days, you have to remember how far a kilometer is!	這是巡邏車的時速表，同時顯示公里和英里時速。總有一天你得搞清楚一公里到底有多遠！
It's the squad car's tachometer.	這是巡邏車的轉速表。
The old 83-32, pride of the LPD.	老舊的 83-32，LPD 的驕傲。
Without even thinking about it, you sense that this is the steering wheel to your well-maintained patrol car.	想都不用想，你就知道這是你那輛保養良好的巡邏車的方向盤。
The glove box of your squad car. Like most other cars, it doesn't hold gloves at all, but an assortment of little-used and little-needed paraphernalia.	巡邏車的手套箱。跟大多數車子一樣，裡面根本沒有手套，只有一堆很少用到、也不太需要的雜物。
Heater vents. You sometimes use them when patrolling during the winter, but most of the time, they gather dust, mold and fungus.	暖氣出風口。冬天巡邏時你偶爾會用到，但大多數時候它們只是在積灰塵、發霉長黴菌。
Your fuel and temperature gauges.	你的油量表和水溫表。
It's the squad car speedometer, showing speed in kilometers and mph. One of these days, you have to remember how far a kilometer is!	這是巡邏車的時速表，同時顯示公里和英里時速。總有一天你得搞清楚一公里到底有多遠！
The squad car's ignition.	巡邏車的點火開關。
The mike for the squad car's transmitter.	巡邏車無線電發射器的麥克風。
The volume dial for the squad car's radio.	巡邏車無線電的音量旋鈕。
The manual frequency dial for the squad car's radio.	巡邏車無線電的手動頻率旋鈕。
The squad car's radio transmitter.	巡邏車的無線電發射器。
The turn signals for the squad car.	巡邏車的方向燈。
The squad car's no-nonsense dashboard.	巡邏車樸實無華的儀表板。
This is your straight signal icon. Click the HAND cursor on this icon to continue straight at an intersection where you've stopped, or to change your mind after signaling a right- or left-hand turn.	這是你的直行方向燈圖示。用手形游標點擊這個圖示，就能在停等的路口繼續直行，或是在打了左轉／右轉燈之後改變主意。
Highway 41	Highway 41
Entrance	入口
Exit	出口
ENTRANCE	入口
EXIT	出口
Lytton PD	Lytton 警局
County Jail	郡監獄
Delphoria	Delphoria
Carol's	Carol's
Blue Room	Blue Room
Cotton	Cotton
Cove	Cove
Bert's Park	Bert's Park
Court	法
House	院
Just another stretch of pavement.	只是一段普通的柏油路。
The intersection of	路口：
Palm	Palm
Oak	Oak
Fig	Fig
Peach	Peach
Rose	Rose
Lilly	Lilly
Poppy	Poppy
River Rd.	River Rd.
Parkway	Parkway
1st St.	1st St.
2nd St.	2nd St.
