Which book?	哪一本書？
"Hey, man! What're you staring at?!"	「嘿，老兄！你在瞪什麼？！」
"Isn't it nice how affirmative action has helped guys like you get on the force?"	「平權措施幫助像你這樣的人加入警隊，不是很好嗎？」
That's good, old "Morris Fudley." He's so tight, when he walks, he squeaks!	真是老「Morris Fudley」。他小氣到走路都會吱吱作響！
"Book him for what?" asks the jailer.	獄警問：「要以什麼罪名登記他？」
The jailer does that electronically.	獄警用電子設備完成那件事。
"Hey, man, lemme outta here! I didn't know it was illegal to copy disks!"	「嘿，老兄，放我出去！我不知道複製磁碟是違法的！」
The man in the cell is upset by your presence here. He jeers, "Say, fool, if you're not my lawyer, then get out of my face!"	牢房裡的男人因你的出現而不高興。他嘲笑道：「喂，笨蛋，如果你不是我的律師，就別在我面前晃！」
From behind the bars, you are verbally assaulted, "That's all you sidewalk lizards do: pick on us poor little folks! If you wanna pick on somethin', try runnin' your finger up your nose to about the second knuckle, Captain Crime Buster!"	隔著鐵欄杆，你遭到言語攻擊：「你們這些街頭蜥蜴只會欺負我們窮小民！如果真想欺負什麼，就把手指伸進自己的鼻子到第二個關節吧，犯罪剋星隊長！」
"Hey, Pig!" shouts the prisoner. "If you were on my side of these bars, I'd kick your mojo up between your shoulders!"	囚犯喊道：「嘿，條子！如果你在鐵欄杆這邊，我就把你的魂踢到肩膀中間！」
"Well, well, well!" shouts the prisoner. "If it ain't a wimp in cop's clothing!"	囚犯喊道：「哎呀，哎呀！這不是穿警察制服的膽小鬼嗎！」
The jailer hollers, "Get over there! I'll open the door!"	獄警喊道：「到那邊去！我來開門！」
The jailer has control of this door.	這扇門由獄警控制。
You need to get closer.	你需要再靠近一點。
It seems you have some unfinished business here first.	看來你得先處理這裡尚未完成的事情。
The jailer greets you with a friendly, "	獄警親切地向你打招呼：「
The jail is drab and depressing. The only reason the jailer works here is the vast variety of lifestyles that pass through.	監獄單調又令人沮喪。獄警之所以在這裡工作，唯一的理由就是每天經過這裡的生活百態。
"I'll have to process her paperwork before you can take her anywhere," says the jailer. "I'll send her over to HQ as soon as possible."	獄警說：「你要帶她去哪裡前，我得先處理她的文件。我會盡快把她送到總部。」
You don't have a suspect.	你沒有嫌犯。
The Jailer says "Bonds, you oughta know better than to bring your gun in here."	獄警說：「Bonds，你應該知道不該把槍帶進來。」
You're docked two points.	你被扣兩分。
The gun locker is open.	槍櫃是開著的。
The gun locker is closed.	槍櫃是關著的。
You place your revolver in the locker.	你把左輪手槍放進槍櫃。
You remove and holster your weapon.	你取出武器並收入槍套。
You can't reach the gun locker from there.	你從那裡搆不到槍櫃。
You can push the buzzer, but the door is already open.	你可以按蜂鳴器，但門已經開了。
You push the buzzer. The jailer releases the electronic lock.	你按下蜂鳴器。獄警解除電子鎖。
Only the jailer can open and close this door.	只有獄警能開關這扇門。
