Comin' up.	馬上來。
SNORK..mumble...ZZZZZZZZZZ...	SNORK……喃喃自語……ZZZZZZZZZZ……
Hello, Detective Bonds. I'm Detective Danny Anglin.	你好，Bonds 警探。我是 Danny Anglin 警探。
Glad to see you!	很高興見到你！
Here, Detective Bonds. This is a transmitter. Just put it in your shirt pocket, and we'll be able to hear you and everyone immediately around you. It's one-way, of course, so you won't be able to hear us. That way, we'll be able to track you wherever they might ask you to go after the poker game.	拿去，Bonds 警探。這是一個發報器。把它放進你的襯衫口袋就行了，這樣我們就能聽到你和周圍所有人的對話。當然，這是單向的，所以你聽不到我們的聲音。這樣一來，撲克局結束後，不管他們要你去哪，我們都能追蹤到你。
Thanks, Danny.	謝了，Danny。
And here's another thousand dollars. We don't want you running out of funds in the middle of a poker game.	這裡還有一千塊。我們可不希望你在牌局打到一半就沒錢了。
Great. Maybe I can even finish with a little more than I started.	太好了。說不定我最後還能比一開始多贏一點。
It looks like you're all set. Remember, we'll be there. If you get in trouble, we're right behind you.	看來你都準備好了。記住，我們會在附近。你要是遇上麻煩，我們就在你身後。
That's good to know. Thanks.	知道這個真讓人安心。謝了。
You bet. Good luck, Detective.	沒問題。祝你好運，警探。
You just love the feel of polished hardwood.	你就是喜歡這種拋光硬木的觸感。
It's real hardwood. You're impressed.	這是真材實料的硬木。你印象深刻。
The comforter is soft and heavy.	這條被子又軟又厚重。
The bed looks comfortable.	這張床看起來很舒服。
Nice and thick. It probably doesn't show stains, either.	又厚又扎實。大概也不容易看出污漬。
The carpet is a pleasing shade of dark green. At least, it pleases you because it's not that awful peach stuff.	這張地毯是討喜的深綠色。至少對你來說很討喜，因為它不是那種糟糕的蜜桃色。
As amusing as it would be to present Sgt. Dooley with this little knick-knack, taking it just wouldn't be right.	把這個小玩意兒送給 Dooley 警佐雖然聽起來挺好玩的，但拿走它終究不太妥當。
Besides, it's glued to the table.	再說，它被黏死在桌上了。
There's a statue of a chicken on the nightstand. You get a strong feeling of deja vu...	床頭櫃上有一座雞的雕像。你有種強烈的既視感……
Who is it?	是誰？
Candygram!	糖果快遞！
Say what?!	你說什麼？！
Just kidding, Sonny. Leiutenant Morgan sent me.	開玩笑的啦，Sonny。是 Morgan 中尉派我來的。
Okay, just a second.	好，等一下。
Come in.	請進。
It's a drawer.	這是一個抽屜。
You take the fax from Officer Steele.	你從 Steele 警員手中接過傳真。
Nice material. Real vinylette or something like that.	材質不錯，應該是仿皮的乙烯基布料之類的東西。
The curtains are a nice color of green, clashing ever-so-lightly with the carpet.	窗簾是好看的綠色，跟地毯的顏色有那麼一點點不搭。
It's already on.	它已經開著了。
Interesting lamp. You decide you like it.	有趣的檯燈。你決定你喜歡它。
Well, I guess I'd better go catch that cab. Maybe I'll see you around, huh, Sonny?	嗯，我想我該去搭那輛計程車了。也許改天再見囉，Sonny？
Count on it, Marie.	一定的，Marie。
Keep your mind on business, Bonds.	把心思放在正事上，Bonds。
Marie looks lovely tonight.	Marie 今晚看起來很美。
Oh, Sonny, I'm worried about you. From what I've heard, these are some bad guys. You'll be careful, won't you?	喔，Sonny，我很擔心你。聽說這些傢伙都不是省油的燈。你會小心的，對吧？
You bet I will, Marie. I wouldn't want to endanger the operation--or my own skin, for that matter.	當然會，Marie。我可不想讓這次行動陷入危險——更不想賠上自己的小命。
Oh, I'm gonna worry about you anyway!	喔，反正我還是會擔心你的！
Thanks for getting me out of jail, Sonny. I really appreciate it.	謝謝你把我從牢裡弄出來，Sonny。我真的很感激。
You're welcome, Marie. You certainly held up your side of the bargain.	不客氣，Marie。妳確實遵守了妳那部分的約定。
There's not a lot I wouldn't do for you, Sonny. You've been so sweet to me.	沒什麼事是我不會為你做的，Sonny。你對我一直這麼好。
You feel a blush coming on.	你感覺自己臉紅了起來。
I guess I should be getting on my way soon.	我想我該準備上路了。
No hidden compartments, spy cameras, or bugs. Not too surprising.	沒有暗格、間諜攝影機，也沒有竊聽器。倒也不怎麼令人意外。
This nightstand doesn't seem to have any drawers. You consider arresting it for indecent exposure.	這個床頭櫃似乎沒有抽屜。你考慮要不要以妨害風化罪把它逮捕。
Try the drawer.	試試那個抽屜。
It's a nighttable. Your keen cop's instincts tell you it will most probably contain a Gideon's Bible, a phone book, and some really dusty stationary.	這是一張床頭櫃。你敏銳的警察直覺告訴你，裡面十之八九放著一本基甸聖經、一本電話簿，還有一些積滿灰塵的信紙。
Just because it looks like a fingerpainting doesn't mean that you get to add to it, Bonds.	就算它看起來像幅指畫，也不代表你可以在上面加點什麼，Bonds。
This is one third of the ultra-modern Expressionist tryptich on your wall. You think it looks like a fingerpainting.	這是牆上那幅超現代表現主義三聯畫的其中一幅。你覺得它看起來像幅指畫。
You start to use the phone, but decide that there are better things to do.	你正要用電話，但轉念一想，還有更值得做的事。
Naw. It's too late to call Taber. Your attention needs to remain focused on the operation at hand.	算了。現在打給 Taber 太晚了。你得把注意力放在眼前的行動上。
The pillows have already been fluffed to the extent that these pillows can be. Besides, you won't be doing any sleeping during this operation.	這些枕頭已經被拍鬆到不能再鬆了。而且，這次行動你根本不會有時間睡覺。
It's a pillow.	這是一個枕頭。
You can safely assume that the curtains are already in the aesthetically correct position, as determined by the last maid to service this room.	你可以放心假設，窗簾已經被上一位打掃這間房的服務員，調整到美觀上正確的位置了。
Pink curtains cover the window. You wish this hotel didn't have so much pink in it.	粉紅色窗簾遮著窗戶。你真希望這間飯店別用那麼多粉紅色。
This is your hotel room.	這是你的飯店房間。
This ain't Quest for Glory, Bonds. It's never gonna fly.	這裡不是 Quest for Glory，Bonds。這招行不通的。
What an attractive rug. It seems to match the paintings.	好漂亮的地毯。看起來跟這些畫挺搭的。
Lt. James Morgan.	我是 James Morgan 中尉。
Lt. Morgan, this is Sonny Bonds. I've made contact with Alex Jensen, and I've been invited to the poker game tonight.	Morgan 中尉，我是 Sonny Bonds。我已經跟 Alex Jensen 搭上線了，而且我今晚被邀請去打撲克。
Good job, Sonny. Carry on. But carry on with caution!	幹得好，Sonny。繼續進行，但要小心行事！
Yes, sir, I will.	是，長官，我會的。
I'll expect you to report in after the game.	牌局結束後，我等你回報。
You just be careful. Goodbye, Sonny.	你自己小心點。再見，Sonny。
Goodbye.	再見。
Hi, Lt, Morgan, this is Sonny Bonds.	嗨，Morgan 中尉，我是 Sonny Bonds。
You sound cheerful, Sonny. I hope that means everything is going all right?	你聽起來心情不錯，Sonny。希望這表示一切順利？
Yes, sir! I went to the poker game, and kicked bu-- uh, I did quite well. One of the sharks seemed to be in charge. He might be our man. They invited me to a second poker game later tonight.	是，長官！我去打了那場撲克，把他們打得屁滾——呃，我表現得相當不錯。其中一個老千似乎是帶頭的，他可能就是我們要找的人。他們邀我今晚稍後再去打第二場。
Very good, Bonds. A backup team is on their way. Wait for them; they're bringing you a transmitter and some more money. Remember, Bonds, you have to go in there unarmed. Act accordingly. In other words, use your head at all times.	很好，Bonds。支援小隊已經在路上了。等他們過去，他們會帶發報器和更多資金給你。記住，Bonds，你進去時不能帶武器。行事要相應調整。換句話說，隨時都要用腦子。
Yes, sir. I'll be careful, sir.	是，長官。我會小心的，長官。
You do that, Sonny. Goodbye.	你就這麼做，Sonny。再見。
Hello, Lt. Morgan. This is Sonny Bonds.	你好，Morgan 中尉。我是 Sonny Bonds。
You sound discouraged, Sonny. What's the problem?	你聽起來很沮喪，Sonny。出了什麼問題？
I lost at poker pretty badly. They didn't invite me back.	我在牌局上輸得很慘。他們沒有再邀我回去。
Oh, boy. Looks like we'll have to start teaching poker at the Academy. On a formal basis, that is. Well, I guess the operation is over. Come on back, Bonds.	唉。看來我們得開始在警校正式開一堂撲克課了。好吧，我想這次行動就到此結束。回來吧，Bonds。
Lyvely Lytton Cab Company. May I help you?	Lyvely Lytton 計程車公司，請問需要什麼服務？
Yes. Please send a cab to the Hotel Delphoria right away.	是的。請馬上派一輛計程車到 Delphoria 飯店。
Yes, sir. There's a driver in your area, so it should just be a few minutes.	好的，先生。您那邊附近剛好有司機，應該幾分鐘內就能到。
Thank you.	謝謝。
Uh, hello. Could you please dispatch a cab to the Hotel Delphoria?	呃，你好。可以麻煩派一輛計程車到 Delphoria 飯店嗎？
I'm sorry sir but our only driver, Dale is busy right now...although we don't know what he's busy doing.	很抱歉，先生，我們唯一的司機 Dale 現在正忙……雖然我們也不知道他在忙什麼。
LT&T Operator. How may I help you?	LT&T 接線生，請問需要什麼服務？
Yes, I'd like the number for the Lyvely Lytton Cab Company, please.	是的，我想查 Lyvely Lytton 計程車公司的電話號碼，麻煩了。
