Just a moment, Sir. That number is 555-6887. Thank you for using LT&T.	稍等一下，先生。那個號碼是 555-6887。感謝您使用 LT&T。
The empty barrel says "Kalifornia King Dehydrated Apricots".	這個空桶子上寫著「Kalifornia King Dehydrated Apricots」。
Leave the empty detergent barrel alone, Bonds.	Bonds，別碰那個空的洗衣精桶。
The empty barrel says "Mondo Disinfecto Laundry Detergent."	這個空桶子上寫著「Mondo Disinfecto Laundry Detergent」。
Way disgusting, Bonds, way disgusting.	太噁心了，Bonds，太噁心了。
It's a cardboard box. It has gum wrappers, pizza crusts, and ashes in it.	這是一個紙箱，裡面有口香糖包裝紙、披薩皮和菸灰。
You figure if it's a mouse or rat, it will chew its way out soon. If it's not a mouse or a rat, you'd rather not know what it is at all...	你猜想如果裡面是老鼠，它很快就會咬破箱子跑出來。如果不是老鼠，你寧可完全不知道那是什麼……
It's a cardboard box. The lid is closed, but you can hear something scrabbling around inside and emitting little squeaks and grunts.	這是一個紙箱，蓋子是闔上的，但你能聽到裡面有東西在爬動，還發出細小的吱吱聲和低哼聲。
You decide you don't want to know.	你決定還是不知道比較好。
It's an empty cardboard box. The bottom of it looks wet.	這是一個空紙箱，箱底看起來濕濕的。
Yes, it would be immensely enjoyable to pick up the giant tube and hoot down it, pretending it's a digery doo, but that would almost certainly compromise your dignity.	沒錯，拿起這根巨大的紙筒對著它吹、假裝那是迪吉里杜管，一定會很爽，但這幾乎肯定會讓你顏面掃地。
It's a carpet tube. The hotel must have replaced some carpeting somewhere.	這是一根地毯捲筒。飯店想必在某處換過地毯。
You don't need to clean anything right now, Bonds. You have more pressing matters to deal with.	Bonds，你現在不需要打掃任何東西，還有更緊急的事要處理。
The shelves are full of cleaning fluids, powders, and sprays. You see bleach, detergent, floor wax and toilet bowl cleaner.	架子上擺滿了清潔液、清潔粉和噴劑。你看到漂白水、洗衣精、地板蠟和馬桶清潔劑。
You notice that many of the bottles are leaking, and the escaped goo is forming a puddle on the bottom shelf. You make a note to call OSHA.	你注意到很多瓶子都在滲漏，流出來的黏液在最底層的架子上積成一灘。你心想該打電話給 OSHA 職業安全衛生局檢舉。
On closer inspection, you see ant poison, rat poison, and Red Dye #2.	仔細一看，你發現有螞蟻藥、老鼠藥，還有二號紅色色素。
There's kerosene, gasoline, benzine, toluene, and phosgene in handy spray bottles.	還有裝在方便噴瓶裡的煤油、汽油、苯、甲苯，以及光氣。
Perhaps this isn't a good time to jam. The action's just getting started and leaving would blow your cover as a cool gambling type.	現在或許不是抽身的好時機。牌局才剛開始，這時候離開會讓你這個「賭場老手」的偽裝穿幫。
It's a door.	這是一扇門。
Nothing's burning, Bonds.	Bonds，沒有東西在燒。
It's a fire extinguisher.	這是一具滅火器。
What, did you think it would be hot?	怎麼，你以為它會是熱的嗎？
The sign says "FIRE" in huge letters.	牌子上用巨大的字寫著「FIRE」。
You don't need empty beer flats, Bonds. Really.	Bonds，你不需要空的啤酒箱。真的不需要。
These empty cardboard boxes look suspiciously like beer flats. You wonder what kind of beer a fancy hotel like this one buys. You suspect you couldn't pronounce it, even if you knew.	這些空紙箱看起來很像啤酒箱。你很好奇這種高檔飯店都買什麼牌子的啤酒，猜想就算知道了，你大概也唸不出那個名字。
The shelves seem well put together.	這些架子看起來組裝得挺牢固。
Metal supply shelves.	金屬置物架。
You reach for one of the mice. It stands up on its hind legs and insults your lineage in mouse language, starting with your great-great-great grandfather. The mouse seems to be implying that you have ungulates somewhere in your family tree. Thoroughly offended, you leave the little ingrate alone.	你伸手想抓其中一隻老鼠。牠用後腿站起來，用老鼠的語言辱罵你的祖宗十八代，一路罵到你的曾曾曾祖父。這隻老鼠似乎在暗示你家族樹上某處混了偶蹄類動物的血統。徹底被冒犯的你，決定放過這隻忘恩負義的小東西。
Two hapless mice are next to a mousetrap.	兩隻倒楣的老鼠待在一個捕鼠器旁邊。
The mice are too busy to talk to you.	這些老鼠正忙著，沒空理你。
You don't need any paper towels. Especially not these. They could take the paint off your car with one swipe. Ouch!	你不需要任何紙巾，尤其不需要這種。這種紙巾一擦大概能把你車上的烤漆刮掉，哎呦！
Rolls of industrial-strength paper towels.	一捲捲工業強度的紙巾。
Unhand that planter, Bonds. You don't need it any more than the hotel does. After all the innocent houseplants you've killed, you should probably give it up and buy silk plants yourself.	Bonds，把那個花盆放下。你跟飯店一樣都不需要它。想想你害死過多少無辜的室內植物，你大概該死心，自己買盆假花算了。
It's a ceramic planter. It makes you wonder if the hotel used to have live plants, instead of silk ones.	這是一個陶瓷花盆。這讓你不禁好奇，飯店以前是不是曾經種真的植物，而不是假花。
Walking around this room, knocking on walls and looking for hidden panels and doors, is bound to get you in trouble.	在這個房間裡到處走動、敲牆壁找暗門暗格，肯定會給你惹上麻煩。
This is the Hotel Delphoria's storage room. At last, something grimy in this totally-too-clean joint!	這是 Delphoria 飯店的儲藏室。終於，在這個乾淨過頭的地方找到點髒東西了！
You peek in the boxes, and see more paper towels and generic toilet paper than you imagined possible.	你往箱子裡瞄了一眼，看到的紙巾和廉價衛生紙數量之多，超乎你的想像。
The boxes contain supplies for the hotel.	這些箱子裝著飯店的補給用品。
Your salary isn't THAT bad, Bonds. You don't have to recycle that can. Leave it for someone who really needs it.	Bonds，你的薪水也沒那麼慘。你不用去撿那個罐子回收，留給真正需要的人吧。
It's an empty soda can.	這是一個空的汽水罐。
These aren't patient men, Whitey. If you're gonna go in, go in.	這些人可沒什麼耐心，Whitey。要進去就趕快進去。
Okay, hot shot, cool your heels while I clear the way.	好了，大人物，先在這等等，我去把路清出來。
Hang on a minute, Whitey. I'll be right with you. Why don't you, uh, take in the scenery, ha ha!	等一下，Whitey，我馬上就好。你何不，呃，先欣賞一下風景，哈哈！
Alex taps out a strange pattern on the door.	Alex 在門上敲出一串奇怪的節奏。
"Yeah?"	「怎樣？」
Alex whispers something you can't quite hear, then turns to look at you.	Alex 低聲說了些你聽不太清楚的話，接著轉頭看向你。
Okay, they're ready for you, big guy. Just go on in.	好了，他們準備好見你了，大個子。直接進去吧。
Okay, big guy, I'm afraid I'm gonna have to pat you down. Not that I don't trust you or anything, but we have to be certain...	好了，大個子，恐怕我得先搜一下你的身。不是不信任你，只是我們得確認一下……
I understand, babe. I'll suffer through it. Take your time, now.	我理解，寶貝。我會忍過去的，你慢慢來。
Assume the position, smartass.	站好姿勢，別耍嘴皮子。
There goes my reputation.	我的名聲就這麼沒了。
Just let me tell them you're coming, then you can go on through.	讓我先跟他們說你要進去了，然後你就可以直接過去。
What, no search? I was looking forward to it.	怎麼，不搜身了？我還挺期待的呢。
Oh, I almost forgot. Thanks for reminding me.	喔，我差點忘了。謝謝你提醒我。
Almost forgot? My dear Alex, I'm wounded.	差點忘了？親愛的 Alex，你這話真傷人。
Whitey, honey, when you've patted as many bods as I have, they all blur into one. Although I probably won't forget that cute little rear of yours for awhile. 'Scuse me for a minute.	Whitey，親愛的，等你搜過像我搜過那麼多身體，你也會分不清誰是誰了。不過你那可愛的小屁股，我大概一時半刻忘不了。失陪一下。
Okay, honey, go on in.	好了，親愛的，進去吧。
You wonder where that leads, but you're smart enough not to venture there uninvited.	你很好奇那裡通往何處，但你夠聰明，知道不該未受邀就闖進去。
It's yet another back door. Where could this one lead?	這又是一扇後門。這扇門會通往哪裡呢？
You don't want to do that, Bonds. He would turn you into a pretzel before you had time to scream.	Bonds，你不會想那麼做的。他會在你來得及尖叫之前，就把你扭成一個椒鹽脆餅。
The bouncer is pretty imposing.	這個保鑣看起來相當有威懾力。
The bouncer grunts something unintelligable in your general direction.	保鑣朝你的方向低哼了幾聲，含糊得聽不清楚。
It does look realistic, but you can't take the ball.	看起來確實很逼真，但你不能拿走那顆球。
This fine work of art is a super-realistic depiction of the exciting moment when a bowling ball strikes the pins dead-on.	這件精緻的藝術品，超寫實地描繪了保齡球正中球瓶那令人振奮的瞬間。
It looks like this place actually has some house rules posted. No Cussing, No Spitting, No Betting, No Drinking. Yeah, right, and probably no winning.	這地方看來還真的貼了店規：禁止咒罵、禁止吐痰、禁止賭博、禁止飲酒。是喔，大概也順便禁止贏錢吧。
Don't, Bonds, you'd look silly.	別這樣，Bonds，你會看起來很蠢。
Burgundy carpeting. At least it's not pink.	酒紅色地毯。至少不是粉紅色的。
It would look pretty suspicious if you left now, Bonds.	Bonds，你現在離開的話，看起來會相當可疑。
It's the door.	這是那扇門。
Probably not a good idea, Bonds.	Bonds，這大概不是個好主意。
It's Frank Magpie.	這是 Frank Magpie。
He looks dangerous.	他看起來很危險。
Goodbye, Mr. Banksten.	再見了，Banksten 先生。
Hello, Mr. Banksten. I'm glad you could join us. My name is Frank Magpie, and these are my regular poker partners. Allow me to introduce you. Jimmy Lee "Whitey" Banksten, this is Otto Lipschitz.	你好，Banksten 先生。很高興你能加入我們。我叫 Frank Magpie，這些是我固定的牌搭子。容我為你介紹。Jimmy Lee『Whitey』Banksten，這位是 Otto Lipschitz。
Hello, Mr. Banksten. Interesting look you have going there.	你好，Banksten 先生。你這打扮還真有意思。
Nice to meet you, Mr. Lipschitz.	很高興認識你，Lipschitz 先生。
And this is Gene Bamboni.	這位是 Gene Bamboni。
Hey hey, Whitey. How's it hangin'? Call me "The Bambino". All my friends do.	嘿嘿，Whitey，最近怎樣啊？叫我『The Bambino』就好，我朋友都這麼叫我。
Okay, Bambino. Nice to meet you.	好的，Bambino。很高興認識你。
Okay, enough with the small stuff. It's time to play poker. The name of the game is Five Card Draw. You do know how to play Five Card Draw, don't you, Mr. Banksten?	好了，閒聊夠了，該來打牌了。玩的是五張抽換撲克。你會玩五張抽換吧，Banksten 先生？
Yes, Mr. Magpie. Do you?	會，Magpie 先生。你呢？
Oh, he's a quick one! Let's see if your card-playing skills are as sharp as your wit, hmm, Whitey?	喔，反應真快！讓我們瞧瞧你的牌技是不是也跟你的嘴皮子一樣厲害，嗯，Whitey？
Ha ha ha! Frank toasted your biscuits, Whitey!	哈哈哈！Frank 把你烤得酥脆了，Whitey！
Enough, already. Let's play.	夠了，別鬧了，開始玩吧。
Do you want to play, or chat, Mr. Banksten?	你是想打牌，還是想聊天，Banksten 先生？
Wouldn't it seem suspicious if you started pawing the gamblers, Bonds? Pay attention to your own business.	Bonds，你要是開始亂摸這些賭客，看起來不會很可疑嗎？管好你自己的事就好。
The room is full of people playing cards. You didn't realize there were so many gamblers in Lytton.	房間裡滿是打牌的人。你沒想到 Lytton 竟然有這麼多賭客。
It's not a good idea to disturb someone who's in the middle of a high-stakes poker game, Bonds. They might get cranky.	Bonds，打擾正在玩高額撲克局的人可不是個好主意，他們可能會發脾氣。
You don't even know him, Bonds.	Bonds，你根本不認識他。
It's Gene "The Bambino" Bamboni.	這是 Gene『The Bambino』Bamboni。
You wonder what he's hiding behind his rather stunned expression.	你很好奇，他那副呆滯的表情底下究竟藏著什麼。
See ya, Whitey.	再見了，Whitey。
Shut up and play, Whitey.	閉嘴打牌就好，Whitey。
He just grins at you, and doesn't answer.	他只是對你咧嘴一笑，沒有回答。
Leaving now would not be cool. You'd be jeopardizing the operation.	現在離開可不是明智之舉，你會危及整個行動。
What would you hope to accomplish, Bonds?	Bonds，你這麼做想達成什麼目的？
It's Otto Lipschitz.	這是 Otto Lipschitz。
He looks pretty cranky.	他看起來相當暴躁。
It's been a pleasure, Mr. Banksten.	很榮幸認識你，Banksten 先生。
NOT! Ha ha ha!	才怪！哈哈哈！
