Laura enters the jail and says, "Hey, Sonny! I need to speak with you for a moment."	Laura 走進監獄說：「嘿，Sonny！我需要和你談一下。」
"Hey, Sonny, come over here," says the jailer. "I have something to tell you."	獄警說：「嘿，Sonny，過來這裡。我有事告訴你。」
You hand the jailer the No Bail Warrant just in time to keep Mr. Taselli from returning to the streets.	你及時把不得交保令交給獄警，阻止 Taselli 先生重返街頭。
"Oh, man! This is great, Sonny," the jailer laughs. "I hope you know this will slam the ol' boy's orifice shut."	獄警大笑：「老兄！太棒了，Sonny。我希望你知道，這會把那老傢伙的出口徹底封死。」
"I bet you wish you had a No Bail Warrant on this guy!" says the jailer.	獄警說：「我敢打賭，你一定希望手上早就有這傢伙的不得交保令！」
"I'll be right back. This is gonna blow his attorney's mind!"	「我馬上回來。這會讓他的律師大吃一驚！」
"You know something, Pig? All you're doing is slightly delaying my exit!" Taselli rants.	Taselli 咆哮：「你知道嗎，條子？你只是在稍微延遲我的離開！」
"Boy, that made my day, Sonny! You should have seen the guy."	「小子，這讓我今天心情大好，Sonny！你真該看看那傢伙。」
"He started ranting and raving like a little kid who just had his lollipop taken away!"	「他開始像棒棒糖被拿走的小孩一樣又吵又鬧！」
In a desperate attempt to escape, the suspect seizes your weapon and blows you into eternity! Next time, check your weapon at the door!	嫌犯絕望地企圖逃跑，奪走你的武器，把你送進永恆！下次進門時先把武器交出去！
"Sonny, you already gave me the No Bail Warrant."	「Sonny，你已經把不得交保令給我了。」
Failure to search the suspect has cost you dearly! The LPD Widows and Orphan Fund will contact your next of kin!	沒有搜查嫌犯讓你付出慘痛代價！LPD 寡婦與孤兒基金會會聯絡你的親屬！
"What's your name?" the jailer asks your prisoner.	獄警問囚犯：「你叫什麼名字？」
"The name's, uh, Marvin Hoffman, you scum bag!" he responds. "And that's all you're gettin' outta me!"	他回答：「呃，我叫 Marvin Hoffman，你這個人渣！你只能從我這裡得到這些！」
