"Hello."	「哈囉。」
Dispatch responds, "Be advised, 83-31 is responding Code-3 to your location."	調度回覆：「請注意，83-31 正以 Code-3 狀態前往你的位置。」
Review the "Levels of Force" section of your "LPD Policeman's Indoctrination Guide."	請查閱你的《LPD 警員入職指南》中的「用武等級」章節。
The license plate is "UL6942." Hmmm. You remember the partial plate seen by the witness to the Lonnie West murder was "L964." You may have found your man.	車牌是「UL6942」。嗯……你記得 Lonnie West 命案目擊者看到的部分車牌是「L964」。你可能已經找到凶手了。
Dispatch responds, "Affirmative."	調度回覆：「肯定。」
"83-31, out."	「83-31，通話結束。」
Well, that's certainly one way to save the taxpayers' money: mow 'em down instead of taking 'em to court.	這倒也是替納稅人省錢的一種辦法：直接把他們撂倒，省得上法院。
Be careful! This dude's dangerous.	小心！這傢伙很危險。
The suspect falters for a moment, then slowly raises his hands. He realizes he does not have a chance and follows your order.	嫌犯遲疑了片刻，接著緩緩舉起雙手。他明白自己毫無勝算，於是照你的命令行事。
"Ok, ok. I'm lying down!"	「好，好啦。我趴下就是了！」
Your partner just punched that punk's ticket.	你的搭檔剛送了那個小混混一張『單程票』。
But, a little too late for you, pal. Remember, proper procedure promotes police preservation.	不過，老兄，這對你來說有點太遲了。記住，正確程序才能保住警察的性命。
Cranking off a few live rounds at this particular time is not recommended.	現在這個時候開實彈射擊可不是個好主意。
You apprehensively approach the suspect, sensing his desperation.	你戰戰兢兢地靠近嫌犯，感受到他的絕望。
You feel relief as you close the handcuffs around his wrists.	當手銬扣上他手腕的那一刻，你鬆了一口氣。
Stand him up, first.	先讓他站起來。
You'd better handcuff him first!	你最好先把他銬起來！
This guy may be armed!	這傢伙可能身上有武器！
You do not need anything from the trunk.	你不需要後車廂裡的任何東西。
felScene %v119|3 Script %v139|3 susScript %v220|3	felScene %v119|3 Script %v139|3 susScript %v220|3
Jack says, "I can't hear you, Sonny. Come over here".	Jack 說：「我聽不到你，Sonny，過來這邊。」
"%m27"	「%m27」
"Wow!"	「哇！」
Hoochy Coochy Hannah	Hoochy Coochy Hannah
Taselli	Taselli
Hoffman	Hoffman
From a distance you hear, "We've got your number, Pig!"	你從遠處聽到：「我們已經記下你的編號了，臭條子！」
This is the front entrance of Carol's Caffeine Castle, and the "lovely" Wino Willy's Cocktail Lounge.	這裡是 Carol 咖啡城堡的正門，以及『別緻』的 Wino Willy 酒館。
You see a beautiful, blue, cloudless sky.	你看到一片美麗、湛藍、萬里無雲的天空。
You see an oil-stained asphalt street, bordered by a hot concrete sidewalk.	你看到一條沾滿油漬的柏油路，兩旁是曬得發燙的水泥人行道。
