junked in 1983.	1983 年報廢。
  see Escaped, pg 4\\| see Nominee, pg 4	  見〈越獄〉，第4頁\\| 見〈提名〉，第4頁
 Escaped, from pg 3\\|Nominee, from pg 3	 〈越獄〉接第3頁\\|〈提名〉接第3頁
Floreen "Flustered \\|	Floreen『慌張\\|
Flora" Paxton flew \\|	佛 Laura』Paxton\\|
the coop by hiding \\|	躲進一輛\\|
beneath a pile of  \\|	手推洗衣籃裡，\\|
soiled prison      \\|	藏身於一堆\\|
laundry in a hand- \\|	髒污的囚服\\|
pushed basket.     \\|	之下，逃之夭夭。\\|
                   \\|	         \\|
KINGDOM OF DAVENTRY\\|Bonds and Walters	Daventry 王國\\|Bonds 與 Walters
is now under siege \\|	目前正遭\\|
by a renegade, 3-  \\|Walters for LPD	一頭三頭\\|角逐 Lytton 警局
headed dragon. One \\|"Officer of the	惡龍圍攻。\\|『年度最佳
unidentified gnome \\|Year Award" due to	一名不具名\\|警員獎』，表彰
stated the kingdom \\|outstanding effort	的地精表示，\\|兩人在打擊
is in a "state of  \\|and commitment in	王國已進入\\|犯罪上的
emergency."        \\|crime prevention.	『緊急狀態』。\\|傑出表現與奉獻。
%m29A1	%m29A1
%m29A2	%m29A2
%m29A3	%m29A3
%m29A4	%m29A4
%m29B1	%m29B1
%m29B2	%m29B2
%m29B3	%m29B3
%m29B4	%m29B4
%m29C1	%m29C1
%m29C2	%m29C2
%m29C3	%m29C3
%m29C4	%m29C4
%m29D1	%m29D1
%m29D2	%m29D2
%m29D3	%m29D3
%m29D4	%m29D4
%m46Cotton Cove%m47	%m46Cotton Cove%m47
%m10Respond to 11-83, SW corner of Fig and 4th."	%m10前往支援 11-83，地點在 Fig 街與 4th 街西南角。」
%m10Respond to a complaint at Carol's Caffeine Castle."	%m10前往處理 Carol 咖啡城堡的報案。」
Dispatch squawks, "83-32. 83-32. 	調度呼叫：「83-32，83-32。 
?	？
