Oh, she's OK. She's given up karate to work on her tan. I can't say I disapprove!	喔，她還不錯。她放棄空手道，改去曬黑了。我倒是不反對！
The woman replies, "Oh, that's nice, I suppose. Cleaning up the neighborhood, are you?"	那女人回答：「喔，那還不錯嘛，我想。你是在整頓社區治安嗎？」
Doing my best, Ma'am.	盡力而為，女士。
"Well, if you see my husband, do us all a favor and put a bullet through his head, willya? No-good, lousy, cheatin' son-of-a..." The words trail off, but you get the gist of it.	「這樣吧，你要是看到我老公，幫大家一個忙，賞他腦袋一顆子彈行不行？那個沒用、下流、愛偷腥的狗娘……」話說到一半沒了下文，但你聽懂了她的意思。
There is no reply. The woman has gone inside.	沒有回應。那女人已經進屋去了。
It's too far out of reach.	距離太遠，搆不到。
This subtle arrow points the way into Wino Willy's.	這個不起眼的箭頭指著通往 Wino Willy's 酒館的方向。
If you drank that much beer you'd hurl like a fire hydrant, Bonds.	Bonds，你要是喝下那麼多啤酒，肯定會像消防栓一樣狂吐。
The World Famous Giant Beer Mug that marks the back entrance to Wino Willy's. One of the major amusement attractions of Lytton, it is almost as well-loved as the World Famous Talking Bear that used to sit out in front of the Lytton Police Academy.	這座舉世聞名的巨大啤酒杯標示著 Wino Willy's 酒館的後門。它是 Lytton 主要的觀光景點之一，幾乎和曾經擺在 Lytton 警察學院門口的那隻舉世聞名的會說話的熊一樣受歡迎。
You shouldn't pick up trash, Bonds. There are rats in this locale, and you could easily get bitten...or worse.	Bonds，你不該撿垃圾。這一帶有老鼠，你很容易被咬……或更慘。
You're not on exterminator duty, Bonds. Leave the rats alone and they'll leave you alone.	Bonds，你又不是抓老鼠的。別去惹那些老鼠，牠們也不會來惹你。
A water-stained, partially collapsed cardboard box.	一個被水漬弄髒、部分塌陷的紙箱。
The rat squeaks softly and carries a big stick.	那隻老鼠輕聲吱吱叫，卻扛著一根大棍子。
Geez, Bonds, don't touch it. It probably has fleas.	天啊，Bonds，別碰它。上面大概有跳蚤。
Size 38 DD. Above this, they stop counting.	38 號 DD 罩杯。再大他們就懶得數了。
You have your own, Bonds.	你自己就有一件了，Bonds。
Hmm, nice BVD's.	嗯，不錯的 BVD 內褲。
You can't reach it.	你搆不到它。
Someone has hung their laundry out to dry.	有人把衣物晾出來曬乾。
If you crawl around in that vile-smelling dumpster, Bonds, no one will come near you for the rest of the day. Have some self-respect, man!	Bonds，你要是鑽進那個臭氣熏天的垃圾箱裡翻找，接下來一整天都不會有人想靠近你。拿出點自尊好嗎！
A puke-green dumpster overflows with all kinds of nasty, odiferous garbage.	一個嘔吐綠色的垃圾箱裡滿滿都是各種噁心又臭氣沖天的垃圾。
A thin, reedy voice says from the dumpster:	一個細瘦沙啞的聲音從垃圾箱裡傳出來：
"Hi there, occifer. I'll be out in a minute. I'm jush lookin' for a hammer. Shomebody told me that'sh a shure way to get chicks. (hic.)"	「嗨，條……條子大人。我馬上就出來。我在（呃）找一把槌子。有人跟我說（呃）這樣把馬子最準。（打嗝。）」
The voice doesn't answer. You decide to leave well enough alone.	那聲音沒有回應。你決定別多管閒事。
Your fingers come away coated with a sticky, slimy gray substance. Yechhh!	你的手指沾上一層黏糊糊、滑溜溜的灰色物質。噁——！
Even if you could see through the greasy panes of Wino Willy's window, you really wouldn't want to. Trust us on this one.	就算你能透過 Wino Willy's 酒館那滿是油污的窗戶看進去，你也絕對不會想看。這件事就相信我們吧。
You don't have time to pick up garbage, Bonds, you're a cop. What do you think this is, EcoQuest?	Bonds，你沒空撿垃圾，你是警察耶。你以為這裡是《EcoQuest》喔？
Lots of disgusting garbage is lying around the alley.	巷子裡散落著一堆噁心的垃圾。
The graffiti doesn't feel any better than it looks.	這些塗鴉摸起來跟看起來一樣糟。
Uninspiring, non-artistic, illiterate graffiti.	毫無創意、毫無藝術感、錯字連篇的塗鴉。
Why would you want to do that, Bonds? Do you have no concept of personal hygiene?	Bonds，你幹嘛要這樣做？你都沒有個人衛生觀念的嗎？
The alley is disgusting beyond belief.	這條巷子髒得令人難以置信。
Though this PDA* really revolts you, you prudently decide not to interrupt their makeout session. Young poor oversexed hoodlums tend to get territorial.	雖然這個 PDA* 讓你相當反感，你還是明智地決定不去打斷他們親熱。這些年輕又慾求不滿的小混混通常地盤意識很強。
*PDA: Public Display of Affection	*PDA：公開展示親密行為（Public Display of Affection）
Personally disgusted as you may be by this behavior, public displays of affection are not Federal offenses. Holster your weapon, Bonds.	就算你個人對這種行為感到噁心，公開親熱又不是聯邦重罪。把槍收起來吧，Bonds。
Two unsavory types are sucking face by the Wino Willy's entrance. If it weren't for the fact that they seem to be wearing matching rags, you'd think the young lady had been hired for the occasion.	兩個不三不四的傢伙在 Wino Willy's 酒館門口熱吻。要不是他們身上穿的破爛衣服看起來是一對，你大概會以為那位小姐是特地雇來的。
Excuse me, you two.	兩位，不好意思。
They don't respond. It's impossible to tell whether they actually didn't hear you (since they ARE making some noise of their own) or whether they're purposefully ignoring you.	他們沒有反應。你分不清究竟是真的沒聽見你（畢竟他們自己也弄出不少聲音），還是故意不理你。
Pardon me, would you two care to break it up?	抱歉，兩位介不介意先分開一下？
You hear only slurping in response. You decide to drop this particular interaction.	回應你的只有咂嘴聲。你決定放棄這次互動。
You have better things to do, Officer. Leave the civilians' laundry alone.	警員，你有更重要的事要做。別去動民眾的衣物。
You wonder if the laundry stays clean while it's drying, considering all the pollution and the pigeons.	你很好奇，考慮到這裡的污染和鴿子這麼多，晾在外面的衣物真能保持乾淨嗎。
What would you want an ill-natured, parasite-ridden pest like that pigeon for?	你要那隻脾氣差、渾身寄生蟲的討厭鴿子幹嘛？
Do that and the S.P.C.A. will be on your ass in a flash. Amazing how some people care far more about animal welfare than human welfare.	你敢那樣做，防止虐待動物協會（S.P.C.A.）馬上就會找上你。真神奇，有些人在乎動物福利居然遠勝過人類福利。
A fat, self-satisfied pigeon squats on the clothesline. He kind of reminds you of Sergeant Dooley. You briefly wonder why you never see any BABY pigeons.	一隻肥胖、一臉自得的鴿子蹲在曬衣繩上。牠讓你有點想起 Dooley 警佐。你一時納悶，怎麼從來沒見過幼鴿。
The pigeon ignores you. Perhaps if you had a donut, it'd be a more accomodating conversationalist.	那隻鴿子不理你。也許你手上有個甜甜圈，牠就會比較願意跟你聊了。
You briefly consider taking the panty hose, just as a prank, but what would you do with them?	你一時想拿走那條褲襪，純粹惡作劇，但拿了又能拿它怎麼辦？
The pantyhose flutter gently in the noxious back-alley breeze.	那條褲襪在後巷污濁的微風中輕輕飄動。
You are in the ugly, smelly, rat-infested alley behind Wino Willy's.	你正身處 Wino Willy's 酒館後方那條又醜又臭、老鼠橫行的巷子裡。
You can't reach the window. Find something better to do.	你搆不到那扇窗。找點更有意義的事做吧。
Who knows what goes on behind the grimy upstairs windows of Wino Willy's?	誰知道 Wino Willy's 酒館樓上那些髒兮兮的窗戶後面在幹什麼？
It is the portal to Wino Willy's.	這是通往 Wino Willy's 酒館的入口。
You can't jump that high, Bonds.	Bonds，你跳不了那麼高。
The roof of Wino Willy's is a meeting place for junkies, muggers, hookers, young lovers, and pigeons.	Wino Willy's 酒館的屋頂是毒蟲、搶匪、妓女、小情侶和鴿子聚集的地方。
You jump and jump, but you just can't reach the wires.	你跳了又跳，就是搆不到那些電線。
Crud-encrusted powerlines add to the overall ambiance of the alley.	布滿污垢的電線為這條巷子增添了幾分整體氛圍。
Not only do you not belong back there, you'd rather snorkel through the sewer than go anywhere near there.	你不但不該去那後面，你甚至寧可戴著呼吸管潛進下水道，也不想靠近那裡。
How does the Health Department let them get away with it?	衛生局怎麼會讓他們這樣逍遙法外？
Back here is where Willy keeps the virulent poisons that he passes off as drinks here. Watching the cockroaches skitter to and fro, you sincerely hope that the alcohol covering the bar will kill them before they can cross the bar and jump you.	這裡後面就是 Willy 存放那些被他拿來當酒賣的劇毒液體的地方。看著蟑螂在吧台上竄來竄去，你由衷希望吧台上那層酒精能在牠們爬過來撲向你之前先毒死牠們。
There's nothing on it you need...unless you need sticky pools of beer spilled years ago by a thousand thirsty lowlifes.	上面沒有你需要的東西……除非你需要的是多年前上千個口渴的下三濫灑出來、黏答答的一灘灘啤酒漬。
Wino Willy's bar is a horror of unwashed linoleum, peeling particle board, and unidentifiable solidified glop. You shudder just looking at it, thinking of the lives that have been slowly poisoned, the minds that have slipped into a hazy, timeless oblivion here.	Wino Willy's 酒館的吧台是一場惡夢：沒洗過的地板膠、剝落的合板，還有一坨坨認不出是什麼的凝固黏液。光是看著它，想到多少人在這裡被慢慢毒害、多少心智陷入模糊永恆的遺忘，你就不寒而慄。
The Bubba Beer ad wouldn't add much to the decor of your apartment, Bonds.	Bonds，Bubba 啤酒的廣告牌掛在你家公寓裡，也不會為裝潢加分多少。
It's an ad for Bubba Beer, brewed in the hills of Bootjack, California.	這是 Bubba 啤酒的廣告，這款啤酒產自加州 Bootjack 山區。
Oh, come on, you can't be tired already!	喔，拜託，你不可能這麼快就累了吧！
It's a bench for pool spectators.	這是給撞球觀眾坐的長椅。
You pull your revolver and shoot the unarmed biker right between the eyes. (No, we're not going to reward your violence with animation of blood and brains hitting the back wall.)	你拔出左輪手槍，朝那個手無寸鐵的飛車黨正中眉心開了一槍。（不，我們不會用血肉噴到牆上的動畫來獎勵你的暴力行為。）
The biker's old lady brings you up on charges and sues you and the Lytton police department for several million dollars.	那個飛車黨的老婆對你提告，並向你和 Lytton 警局求償數百萬美元。
Internal affairs finds you guilty.	內部事務部門判定你有罪。
You spend the next 30 years of your life as an alcoholic shoe salesman, before drowning in a puddle of rainwater in the gutter.	接下來的 30 年，你都在當一個酗酒的鞋子推銷員度過，最後在水溝裡的一灘雨水中溺斃。
Ooooh, man, ooooh, man, owwww...	喔喔喔，天啊，喔喔喔，天啊，好痛……
Hey, uh, hey man, we'll move the bikes, okay? We'll just do that now, okay? We're leavin'. We're on our way out.	嘿，呃，嘿老兄，我們會把車移走，好嗎？我們現在就去，好嗎？我們這就走，馬上走。
Oh, man, I'm gonna puke...	喔，天啊，我要吐了……
Please move your motorcycles. You're interfering with the business next door.	請把你們的機車移開。你們妨礙到隔壁店家做生意了。
Well, if it ain't Little Boy Blue. Hey, Little Boy Blue, how'd you like me to help you swallow your tongue? Then you'd REALLY be blue! HAR! Come to poppa, piggy.	喲，這不是藍衣小子嗎。嘿，藍衣小子，要不要我幫你把舌頭吞下去啊？到時候你就真的『發青』了！哈！過來吧，小豬。
Whoooey! Let's gut the little piggy!	喔吼！我們來開膛剖肚那隻小豬吧！
Look, let's not get nasty here. All I need you to do is--	聽著，我們別把事情搞得那麼難看。我只需要你——
All I need you to do is bleed, pig-boy!	我只需要你流血就好，豬仔！
Your attempt at reason, however noble, has failed. It would take Willy months to clean your blood off the walls. If he bothered to do it, that is. You've become an organic work of art, Bonds.	你嘗試講道理，動機雖然高尚，但失敗了。Willy 得花上好幾個月才能把你的血從牆上清乾淨——前提是他願意費這個工夫。Bonds，你已經成了一件有機藝術品。
Nice job, Officer. You defused a potentially dangerous situation, using a minimum of force.	幹得好，警員。你用最少的武力化解了一場可能危險的局面。
Feeling a pang of guilty pleasure, you write "Sonny B was here".	帶著一絲罪惡的快感，你寫下「Sonny B was here」。
It's a chalkboard. Probably for keeping score.	這是一塊黑板。大概是用來記分的。
Leave that alone, Sonny, you'll put your eye out.	別碰那個，Sonny，你會戳到自己的眼睛。
A much-punctured dartboard, and bent, rusted darts.	一塊佈滿孔洞的飛鏢靶，還有幾支彎曲生鏽的飛鏢。
Even if you weren't on duty, you'd never lay a lip on one of Willy's greasy glasses.	就算你沒在值勤，你也絕對不會把嘴唇碰上 Willy 那些油膩膩的杯子。
Willy uses the cheapest, most noxious liquors around to create such masterpieces of mixology as the famous "Screaming Organism," "Richter 8," and "Boilermaker Deluxe".	Willy 用附近最便宜、最劣質的烈酒，調出諸如著名的「尖叫生物」、「芮氏 8 級」和「豪華炸彈酒」這些調酒傑作。
Your feet are sticking to the carpet. You decide you'd rather tap-dance on razor blades in your bare feet than lay one finger on Wino Willy's floor.	你的腳黏在地毯上。你寧可光著腳在剃刀片上踢踏舞，也不想再碰 Wino Willy's 酒館的地板一根手指頭。
You've seen cleaner floors in the bathrooms of big-city bus stations.	你見過大城市巴士站廁所的地板都比這裡乾淨。
You don't see your favorite song, "Dream Cop", (by the Foxy Cadettes), so you decide not to play anything at all.	你沒看到你最愛的歌〈Dream Cop〉（by the Foxy Cadettes），所以決定乾脆什麼都不放。
You suspect there's a beautiful 1959 Wurlitzer jukebox under all that dust and grime.	你猜想在那層厚厚的灰塵污垢底下，藏著一台美麗的 1959 年 Wurlitzer 點唱機。
The jukebox has a lot of boozy torch songs, redneck country hits about getting revenge on cheatin' wimmenfolk, and lots of Elvis (Presley). Nothing newer than 1974.	這台點唱機裡有一大堆醉醺醺的傷心情歌、關於向偷腥女人報復的鄉巴佬鄉村金曲，還有一堆 Elvis（Presley）的歌。沒有一首是 1974 年之後的。
Yup. It's a dust-covered green pool table lamp.	沒錯，這是一盞蒙塵的綠色撞球檯燈。
It's your typical Over-The-Pooltable Dust Covered Green Lamp. It has one flickering flourescent bulb that makes you feel like you're in a silent movie.	這是那種典型掛在撞球檯上方、積滿灰塵的綠色檯燈。上面有顆閃爍不定的日光燈管，讓你感覺自己好像置身在一部默片裡。
Good cops don't, Bonds. At least not while on duty.	好警察不會這樣做，Bonds。至少值勤時不會。
Don't touch that girl, you don't know where she's been!	別碰那個女孩，你又不知道她都去過哪些地方！
"Sweet Cheeks" Marie Wilkans. Despite the pounds of makeup and cheap costume jewelry, Marie's smile is so warm you feel yourself starting to squirm. You always had a crush on her in high school...	「Sweet Cheeks」Marie Wilkans。儘管臉上抹著厚重的妝、戴著廉價的首飾，Marie 的笑容依然溫暖得讓你渾身不自在。你高中時就一直對她有好感……
This local "Working Girl" looks somehow familiar...	這位本地的「應召女郎」看起來莫名眼熟……
Well, Marie, what's new on the street?	說吧，Marie，街上有什麼新鮮事？
