It's Sergeant Dooley.	這是 Dooley 警佐。
Each officer has a pigeonhole. Mail, subpoenas, and related communications are placed here daily.	每名警員都有一個信箱。郵件、傳票與相關通知每天都會放在這裡。
It's your partner, Steve.	這是你的搭檔 Steve。
Hey, it's our own local celebrity, Sonny the Wonder Cop! Congratulations, buddy!	嘿，這不是我們本地的名人、神奇警察 Sonny 嗎！恭喜你，老兄！
You sure talk a lot, Sonny.	你話還真多，Sonny。
Many a boring Dooley-led briefing has been endured here.	這裡不知熬過多少場 Dooley 主持的無聊簡報。
Sergeant Dooley's office looks like a combat zone, where Dooley was the only survivor.	Dooley 警佐的辦公室看起來像戰區，而 Dooley 是唯一的生還者。
You see the layer of dust on Dooley's bulletin board, and decide you don't really want to touch it.	你看見 Dooley 公告板上的灰塵，決定還是別碰比較好。
Dooley's bulletin board has memos on it dating back to 1972.	Dooley 的公告板上貼著最早可追溯到 1972 年的備忘錄。
Dooley subscribes to the "Eye for an eye, tooth for a tooth" concept. If he ever caught you with your hand in his cabinet, he'd simply take off your hand. He's that kinda guy.	Dooley 信奉「以眼還眼、以牙還牙」。如果他抓到你把手伸進他的櫃子，恐怕會直接把你的手卸下來。他就是這種人。
This cabinet has seen better days. Dooley's as rough on his furniture as he is on his men.	這個櫃子早已不復當年。Dooley 對家具和對手下人一樣粗暴。
It's Sgt. Dooley's chair.	這是 Dooley 警佐的椅子。
Never touch a crazed chicken, Bonds. It could turn that beak on you in a heartbeat.	千萬別碰發狂的雞，Bonds。牠轉眼就可能用尖嘴對付你。
Someone has played a juvenile prank on Sgt. Dooley. This chicken is blissfully adding to the crap that litters Dooley's office.	有人對 Dooley 警佐開了幼稚的玩笑。這隻雞正愉快地為 Dooley 辦公室的滿地垃圾增添更多垃圾。
You wonder if the papers are in an order that only Dooley can understand. You decide not to disturb the balance.	你懷疑這些文件是否只有 Dooley 看得懂其中的秩序，決定不要破壞這種平衡。
The stack of papers on Sgt. Dooley's desk is about six inches deep.	Dooley 警佐桌上的文件堆大約有六英吋厚。
Dooley's case records. Trying to organize them could make strong men cry.	Dooley 的案件紀錄。試著整理它們，足以讓鐵漢落淚。
GET OUT, BONDS!!!	滾出去，Bonds！！！
You must have something to do, Bonds. So go do it! Don't bother me!	你一定有事情要做，Bonds。那就去做！別來煩我！
There's trash all over the room, if that's what you want.	如果你想看，房間裡到處都是垃圾。
Coffee grounds, orange peels, and ancient fast food containers. Nothing useful.	咖啡渣、橘子皮和古老的速食餐盒。沒有任何有用的東西。
It would certainly help to air out the room a bit, but a good strong breeze would throw Dooley's desk into further disarray. Let him air out his own room.	通通風當然會有幫助，但強風只會讓 Dooley 的桌面更加凌亂。讓他自己替房間通風吧。
Dooley's window is hidden by Venetian blinds. Apparently he doesn't care for the stunning view of the intersection.	Dooley 的窗戶被百葉窗遮住了。看來他不太欣賞十字路口的壯麗景色。
This hallway leads to Narcotics on the right.	這條走廊右側通往緝毒組辦公室。
This door leads to Lt. Morgan's office.	這扇門通往 Morgan 中尉的辦公室。
This is the main hall on the second floor. To the left are the elevator and Lt. Morgan's office.	這是二樓主走廊。左側是電梯與 Morgan 中尉的辦公室。
This door leads to the narcotics room.	這扇門通往緝毒組辦公室。
