It's a sign for one of newer businesses in town, Frankie's Shoes. They've got a good location.	這是鎮上新開的店家之一——Frankie's Shoes 的招牌。地點選得不錯。
Good day, Officer. Have I done something wrong?	日安，警員。我做錯什麼了嗎？
You open your mouth, and discover your throat has gone dry. You clear it in a manly way, and say;	你張開嘴，卻發現喉嚨乾得說不出話。你故作男子氣概地清了清喉嚨，說：
You, ah, you ran a stop sign back there, Miss. Can I have a picture? I mean, can I see your driver's license?	你，呃，你剛剛闖了停車標誌，小姐。能給我看張照片嗎？我是說，能看一下你的駕照嗎？
She hands you her license, brushing your fingers with hers, and says;	她把駕照遞給你，手指輕輕拂過你的手，說：
My name's Tawnee. What's yours, Officer?	我叫 Tawnee，警員你叫什麼名字？
Bonds. Sonny Bonds. I'm a policeman.	Bonds，Sonny Bonds。我是警察。
You cringe at the colossally stupid words that just spilled from your mouth. But Tawnee doesn't laugh at you. She just smiles that smile and says;	你為自己剛剛脫口而出的蠢話感到渾身不自在，但 Tawnee 並沒有笑你，她只是露出那抹笑容，說：
I'm so sorry, Officer. I just didn't see that stop sign. I'm so embarrassed. I promise I'll never do it again. Please don't give me a ticket.	真的很抱歉，警員。我剛剛真的沒看到那個停車標誌，好丟臉。我保證不會再犯了，拜託別開我罰單。
Thanks again, Sonny-Bunny! Call me, okay?	再次謝謝你，Sonny 小兔兔！記得打給我喔？
LEAVE ME ALONE!	別煩我！
Don't you think you should look at the young lady before you talk to her?	你在跟這位小姐說話之前，是不是該先看看她？
The fact that she's an attractive young woman doesn't mean you should be any less cautious, nor should procedure be neglected. Too many before you have learned the ultimate lesson by becoming lax in these types of situations.	她是個迷人的年輕女子，不代表你就能少點警戒，也不代表可以省略程序。太多前輩就是在這種情況下鬆懈，付出了最終的代價。
Please, Officer Bonds? I can't afford a ticket. I'll be lucky if I can make my rent this month.	拜託啦，Bonds 警員？我付不起罰單。這個月能不能繳得出房租都還是問題。
Looking at the beautiful classic T-bird, you seriously doubt if that's true. Tawnee is batting her eyes at you. She bites her lip and says;	看著那台漂亮的經典 T-bird，你很懷疑她說的是不是真的。Tawnee 對你猛拋媚眼，咬著嘴唇說：
Please? I'll never do it again. I promise.	拜託嘛？我不會再犯了，我保證。
As you look at that beautiful mouth, you freeze up like a jacklighted deer. Tawnee apparently takes your stunned-puma expression for stony cop determination. She looks straight into your eyes and says;	看著那張美麗的嘴唇，你整個人僵住，像被手電筒照到的鹿一樣動彈不得。Tawnee 顯然把你這副呆滯的表情，誤認成鐵面警察的堅定意志。她直視你的雙眼，說：
Please, Officer Sonny. I'll do anything if you'll let me go. Anything.	拜託嘛，Sonny 警員。只要你放我走，要我做什麼都行，什麼都行。
She looks at you meaningfully. Your vitals turn to jello.	她意味深長地看著你，你全身上下都軟成一團果凍。
Gee thanks! I needed some new scratch paper.	哎呀謝啦！我正好需要一些新的便條紙。
Are you going to give Tawnee a ticket or just a warning?	你打算給 Tawnee 開罰單，還是只給口頭警告？
You aren't going to change your mind about giving her a ticket, now are you?	你該不會要改變主意，不開她罰單了吧？
You start to give her a ticket, then decide that you want to enjoy her company for just another moment. Perhaps you should talk to her some more...	你正要開罰單，卻決定想再多享受一下她的陪伴。或許你該再多跟她聊聊……
It's Tony's, one of Lytton's trendier groceries.	這是 Tony's，Lytton 比較時髦的雜貨店之一。
What are you planning to do, walk up the wall?	你打算怎麼樣，飛簷走壁嗎？
The window shades are pulled. You can't see inside.	窗簾拉上了，看不到裡面。
Y'know, Bonds, if you stand in the middle of the street, someone will most likely run you over.	Bonds，你知道嗎，你要是站在馬路正中間，八成會被撞。
No need to check the alarm, Bonds.	Bonds，不需要檢查警報器。
It's the bell to the burglar alarm system. If someone breaks in here, the whole street will know about it.	這是防盜警報系統的鈴。要是有人闖進來，整條街都會知道。
A very expensive burglar alarm system. The shop owners aren't taking any chances.	一套相當昂貴的防盜警報系統。店家可不想冒任何風險。
You have business elsewhere. Lurk in dark alleys on your own time.	你還有正事要辦，想在暗巷裡鬼混，等下班再說。
It's a dark, narrow alley. Looks like the perfect place for a policeman to be ambushed.	這是條又暗又窄的巷子，看起來正是伏擊警察的絕佳地點。
Dammit, Bonds, you're a policeman, not a sign painter.	該死，Bonds，你是警察，不是招牌畫師。
Al's Bait and Tackle and D's Gunsmith have been in business for a very long time. They have recently installed expensive alarm systems due to the dramatic rise in the crime rate.	Al's Bait and Tackle 和 D's Gunsmith 已經開業很久了。由於犯罪率大幅上升，他們最近都裝了昂貴的警報系統。
As much as you admire it, you can't touch it.	再怎麼欣賞，你也不能碰。
The crosshairs in the "O" are tempting, but that would be pretty irresponsible, wouldn't it, Bonds?	招牌「O」字裡的十字準星令人手癢，但那樣做也太不負責任了吧，Bonds？
What a snappy sign. You particularly admire the crosshairs in the "O".	這招牌真帥氣，你尤其欣賞「O」字裡的十字準星。
Yes, he is frustrating and obnoxious, but shooting him would only result in your losing your job, and probably going to prison for ten or twenty years. He's not worth it.	沒錯，他惹人厭又討人厭，但開槍打他只會讓你丟了工作，還可能被關個十年二十年。不值得。
Hey, Oshifer, you don' need to cuff me! I'll be good, I shwear! Oh, arright, arright. Lishen, could you cuff me in the front? I'm not feelin' sho good. Be a shport, huh?	嘿，唉呦員，不用銬我啦！我會乖乖的，我發誓！喔，好啦好啦。聽好，能不能把我銬在前面？我覺得不太蘇胡。通融一下嘛，好不好？
I'm sorry, sir, but I have to follow departmental regulations.	抱歉，先生，但我必須遵守局裡的規定。
Aw, shoot, Oshifer, you're no fun.	啊，靠，唉呦員，你真沒趣。
Come on, Mr. Barnum. Let's get in the car.	來吧，Barnum 先生，上車吧。
All right, pard. I'll cuff you in the front.	好吧，老兄，我把你銬在前面。
You're returning the license of a potentially drunk driver, Bonds?	Bonds，你要把駕照還給一個可能酒駕的人？
The guy in the car rolls down his window, which seems to be a major effort for him. He looks up at you, trying to hold his head steady. You always find some amusement -- and disgust -- in the way hopelessly drunk people try so hard to look straight and nonchalant.	車裡的男子搖下車窗，這動作對他來說似乎頗吃力。他抬頭看著你，努力想讓頭保持穩定。你每次看到爛醉如泥的人拼命想裝出清醒又若無其事的樣子，總覺得又好笑又噁心。
No doubt about it, this guy's truly hammered.	毫無疑問，這傢伙徹底醉了。
His breath could knock a buzzard off a meat wagon. He smells like a brewery tour.	他的口氣濃到能把兀鷲從屍車上薰下來，聞起來就像逛完整間釀酒廠。
I think you'd better come with me, Mr. Barnum.	Barnum 先生，我想你最好跟我走一趟。
Hey! Hey, where'r ya takin' me, Oshifer? Help! Help!	嘿！嘿，你要帶我去哪，唉呦員？救命啊！救命！
Mr. Barnum performs his field sobriety test with the grace of a crude-oil-coated waterfowl. (Actually, the waterfowl probably would have done better.)	Barnum 先生做酒測動作的優雅程度，堪比一隻沾滿原油的水鳥。（其實那隻水鳥搞不好還做得比較好。）
Shouldn't you look at the gentleman first?	你不該先看看這位先生的狀況嗎？
Procedure, Bonds. Isn't there something you're forgetting?	程序，Bonds。你是不是漏了什麼？
I--I did'n do nothin' wrong, Oshifer. (belch). I'm a reshpectable man.	我……我沒做錯什麼事，唉呦員。（打嗝）我可是個受人蘇敬的人。
May I see your license, please?	可以請你出示駕照嗎？
My lish--lish--lishensh? Shure, lessee. No, thash my gun club card. Here (hic) here we go--no wait, thash my library card. Okay, here it ish.	我的駕……駕……駕炤？好，等我找找。不對，這是我的槍枝俱樂部卡。這裡（打嗝）就是這個——不對，等等，這是我的圖書館卡。好啦，找到了。
Mr. Barnum, I'm going to conduct a field sobriety test to determine whether or not you are under the influence. I'd like you to stand on the line and walk toward me heel-to-toe.	Barnum 先生，我要對你進行酒測，判斷你是否酒後駕車。請你站在線上，用腳跟接腳尖的方式朝我走過來。
You decide that this guy is about seven sheets to the wind. A field sobriety test is in order.	你判斷這傢伙已經醉得不成人形，該進行酒測了。
Please step out of the car, Mr. Barnum.	Barnum 先生，請下車。
You got it, Oshifer Pup! Watch yer shoesees, I'm feelin' a little shick, haw haw!	沒問題，小唉呦員！看好你的鞋子，我覺得有點蘇服，哈哈！
There's no need to give a cuffed man a ticket.	沒必要對一個已經上銬的人開罰單。
You should determine the man's physical state before ticketing him.	開罰單前，你應該先確認這個人的身體狀況。
You give Mr. Barnum a citation for unsafe driving.	你開了一張危險駕駛罰單給 Barnum 先生。
A ticket? For me? Gosh, whaddo I win? Haw haw.	罰單？給我的？哎呀，我贏了什麼獎品啊？哈哈。
Drive carefully on your way home, Mr. Barnum.	Barnum 先生，回家路上請小心開車。
Oh, I will, Oshifer. Ish time for Bowling for Pedesh--Pedesh--People! YAAAAAHOOOOOO!	喔，我會的，唉呦員。是時候來場行人保齡球——保……保齡球大賽了！耶——吼——！
Only a mile or two down the road, Mr. Barnum's car jumps the curb and hits five people at a bus stop. Two of them die, one of them becomes paralyzed for life, and the other two escape with minor injuries.	才開出去一兩英里，Barnum 先生的車就衝上路緣，撞到公車站等車的五個人。其中兩人死亡，一人終生癱瘓，另外兩人只受輕傷。
Mr. Barnum ironically walks -- or, rather, staggers -- away from the wreck with hardly a scratch.	諷刺的是，Barnum 先生自己卻幾乎毫髮無傷地——應該說，搖搖晃晃地——走出了車禍現場。
The ticket you gave Mr. Barnum is found on the seat of the car. As a result, you're held responsible for the accident and are promptly fired. You let the people of Lytton down.	你開給 Barnum 先生的罰單在車座上被找到。結果你被判定要為這起事故負責，隨即遭到解僱。你辜負了 Lytton 的市民。
That's totally disgusting, Bonds.	Bonds，這真的噁心透頂。
Pigeon droppings.	鴿子的排泄物。
Even if you could get up there, why would you want THAT?	就算你爬得上去，你要那東西幹嘛？
Pigeon crap. What did you expect would be next to a pack of pigeons?	鴿子大便。一群鴿子旁邊，你還能期待什麼？
