Press this button for information about Police Quest.	按這個按鈕查看《警察故事》的遊戲資訊。
You quickly slide the bullets into their respective chambers.	你迅速把子彈一一推入彈巢。
Select this icon to adjust the game's sound, detail level, Sonny's movement speed, or to save, restore, or quit a game.	選取此圖示可調整音效、畫面細節與 Sonny 的移動速度，也能存檔、讀檔或離開遊戲。
This is Sonny's currently selected inventory item.	這是 Sonny 目前選取的物品。
Use this to reduce animation and speed-up play if the game is running too slow on your machine.	如果遊戲在你的電腦上執行太慢，可用此功能減少動畫、加快遊戲速度。
Select this icon to manipulate objects or to pick up items.	選取此圖示可操作物件或拾取物品。
That's not something you need to do.	你不需要這麼做。
Just exactly where did you think that would fit?	你以為那究竟能裝在哪裡？
Not now.	現在不行。
That's not the way to load your gun.	那不是裝填槍械的方法。
You tug at your clothing to achieve a slightly more comfortable fit.	你拉了拉衣服，讓它穿起來舒服一點。
Simply having the gun as your "active" inventory item is sufficient to consider it drawn.	只要把槍設為目前使用的物品，就算已經拔槍。
Cuffing yourself will make it difficult to do much of anything.	把自己銬起來後，很多事都很難做。
It's you, Officer Sonny Bonds, proud member of the Lytton Police Department.	你就是 Sonny Bonds 警官，為身為 Lytton 警局的一員而自豪。
What could you possibly have done to deserve such brutality...and at your own hands, too?	你究竟做了什麼，竟值得這種殘酷對待……而且還是出自你自己之手？
Hey, watch it! You could put an eye out with that thing!	嘿，小心！那東西可能會戳瞎人的眼睛！
That's not a necessary step at this point.	現在還不需要這一步。
One might expect the infirm and the indigent to talk to themselves, but one does not expect this behavior of an officer of the law.	一般人可能會預期病弱者或窮困者自言自語，但警察做出這種行為就不太尋常了。
That won't help you now.	現在那幫不了你。
This is the help icon. Click this on other icons to see what they do.	這是說明圖示。將它點到其他圖示上，即可查看各圖示的功能。
Intro/Credits	開場／製作人員
Play New Game	開始新遊戲
Restore Old Game	讀取舊遊戲
Quit	離開
Police Quest:	《警察故事》：
The Death Angel	死亡天使
Use this icon to manipulate an inventory items.	使用這個圖示操作物品欄中的物品。
This the help icon. Click this on others to see what they do.	這是說明圖示。點擊其他圖示即可查看功能。
Use this icon to select one of the inventory items.	使用這個圖示選取物品欄中的物品。
Use this icon to get a closer look and description of an inventory item.	使用這個圖示查看物品欄物品的近照與說明。
Use this icon when you are ready to return to the game.	準備回到遊戲時使用這個圖示。
Use this icon to select one of the available inventory items.	使用這個圖示選取可用的物品。
Use this icon to examine things in the area.	使用這個圖示查看附近的事物。
Return to the game.	返回遊戲。
Use this Icon to quit the game.	使用這個圖示離開遊戲。
Start the game at the beginning.	從頭開始遊戲。
Restore A Game.	讀取遊戲。
Save your current game.	儲存目前的遊戲。
This displays your current score.	這裡顯示目前得分。
of	的
Use this to adjust the sound level.	用此功能調整音量。
Use this to control the speed of Sonny's movement.	用此功能控制 Sonny 的移動速度。
Select this icon to talk with other people in the area.	選取此圖示與附近的人交談。
Welcome to Police Quest. Pick one of the following.	歡迎來到《警察故事》。請選擇下列選項。
That is designed to fit only the locks of your unmarked car.	那只適用於無標誌車的車鎖。
Use this icon to move Sonny around.	用此圖示讓 Sonny 四處移動。
Lytton, California	加州 Lytton
Moulder's Travel Guide, 1965 Edition: "No tour of the California good life would be complete without a stop in Lytton...one of those gems of a small town where progress hasn't spoiled the land or the people..."	Moulder 旅遊指南，1965 年版：「加州美好生活之旅若沒在 Lytton 停留，就不算完整……這是一座進步尚未摧毀土地與人民的小鎮瑰寶……」
Western Lifestyles Magazine, May, 1975: "Through the craziness of the '60s, Lytton, California has managed to hang onto its high moral values and simple lifestyle, despite the inevitable encroachment of a few undesirable elements..."	《西部生活風格》雜誌，1975 年 5 月：「在瘋狂的六○年代，California 的 Lytton 仍設法維持崇高道德與簡樸生活，儘管少數不受歡迎的分子不可避免地逐步侵入……」
"Eyes On California," CBC News Report, January, 1985: "Lytton may be a small town geographically, but its problems are at least as serious as those in any major city..."	「聚焦加州」，CBC 新聞報導，1985 年 1 月：「Lytton 在地理上或許是小鎮，但它的問題至少和任何大城市一樣嚴重……」
The Present	現在
It seems well-constructed.	它看起來製作得很牢靠。
This is the parking garage.	這是停車場。
You don't want to use your personal car for business. You don't know if your insurance covers it!	你可不想開自己的車辦公。誰知道保險到底賠不賠！
You'll need your car keys first.	你得先拿到車鑰匙。
It's your sporty personal vehicle.	這是你那輛帥氣的私人座車。
This isn't Space Quest IV, Bonds. You can only go down the drain professionally in this game.	這不是《太空任務 IV》，Bonds。在這款遊戲裡，只有你的職涯會一路下水溝。
It's a storm drain. It rarely rains in this part of California, but in case it does, the LPD is ready.	這是雨水排水溝。加州這一帶很少下雨，但萬一真的下了，Lytton 警察局已做好準備。
Watch it, Sonny. I'll cite you for copping a feel...or is that feeling a cop?	小心點，Sonny。我可以開單告你亂摸……還是說，你是在摸警察？
Sonny, we got an anonymous tip that a drug deal is going down at Bert's Park. We've got to get over there.	Sonny，我們收到匿名線報，伯特公園正在進行毒品交易。我們得趕快過去。
Too bad you weren't able to secure the No Bail Warrant, Sonny. That really would have been a feather in your cap. Oh, well. Since it was your first action since joining the unit, I don't think Morgan will come down too hard on you. Better luck next time.	可惜你沒能拿到不得交保令，Sonny。那本來會是你的漂亮成績。算了，畢竟這是你加入小組後的第一次任務，我想 Morgan 不會對你太嚴厲。下次加油。
Alright, Sonny. You got the warrant. Good job! Boy, this'll be a feather in your cap.	好，Sonny。你拿到令狀了。做得好！這下可要記你一功。
The door opens automatically. Just walk up to it.	門會自動打開，直接走過去就好。
This is the entrance to the police station.	這是警察局入口。
What, did you think there was a key hidden under it?	怎麼，你以為鑰匙藏在下面嗎？
It's the mat that triggers the automatic sliding doors.	是這張墊子觸發自動滑門。
The pole doesn't budge. Good thing, too, since it helps hold up the building.	柱子紋風不動。這樣正好，畢竟它還要支撐整棟建築。
It's a support pole.	這是支撐柱。
You can't do that -- at least not now!	你不能那樣做——至少現在不行！
Hey, Sonny, I have some paperwork to take care of. Why don't you go to the Blue Room and tell Jack the good news? That creep won't be on the streets for a long time!	嘿，Sonny，我還有些文書工作要處理。你去藍房告訴傑克這個好消息吧？那個人渣很久都別想在街上逍遙了！
Okay, sounds good. I'll head on over there. See you later, Laura.	好，沒問題。我這就過去。回頭見，Laura。
You give the car a quick inspection. Everything looks ready to go.	你快速檢查車輛，一切看起來都已準備就緒。
You haven't been on foot patrol for years. Use a car!	你已經好幾年沒徒步巡邏了。開車吧！
Only uniformed officers can use the patrol car, Bonds.	Bonds，只有穿制服的警員才能使用巡邏車。
You'll need keys for that.	你需要鑰匙才能那樣做。
That's your departmental issue patrol car.	那是警局配發給你的巡邏車。
You'll need the undercover car's keys before you can drive it.	你得先拿到便衣車的鑰匙才能開它。
This vehicle belongs to the Narcotics Unit. It was confiscated in a large drug bust upstate and issued to the department through a program which distributes siezed assets to local law enforcement agencies.	這輛車屬於緝毒組。它是在州外的大型掃毒行動中查扣的，之後透過分配沒收資產給地方執法機關的計畫，配發給本局使用。
Yep, solid wall.	沒錯，是一面實心牆。
This is the Lytton Police station.	這是 Lytton 警察局。
You're not that tall, Bonds.	Bonds，你沒那麼高。
It's an air conditioning vent. Budgetary constraints have forced a cutback in the use of air conditioning, except in the hottest weather.	這是冷氣通風口。受限於預算，除非天氣熱到受不了，否則冷氣都得少開。
Yep, solid hallway.	沒錯，是一條實心走廊。
This hallway leads left to the parking garage and right to the main hallway.	這條走廊左通停車場，右通主走廊。
Despite the fact that some of these notices are pitifully out of date, you, like everybody else, leave them where they are.	儘管其中一些公告早已過時得可憐，你和其他人一樣，仍讓它們留在原處。
A bulletin board displaying general notices and announcements. There's nothing new today.	這是一面張貼一般通知與公告的佈告欄。今天沒有新消息。
You're more concerned with advancement at work and improving your social life than you are in performing volunteer work.	比起做志工，你更在意工作升遷和改善社交生活。
A flyer looking for volunteers for the Police Athletic League.	這是警察體育聯盟招募志工的傳單。
Don't take it down, it's an antique!	別把它撕下來，這可是古董！
A notice urging all Department personnel to sell their share of tickets to the annual Policeman's Ball.	這張通知鼓勵全體警局人員推銷年度警察舞會的票。
This particular notice is two years old. The Policeman's Ball isn't held here anymore; there wasn't enough community support.	這張通知已經兩年了。警察舞會現在不在這裡舉辦，因為社區支持不夠。
Don't bother. Whoever rear-ended the Jaguar will no doubt remove this notice as soon as possible.	別費事了。那個撞上美洲豹車尾的人，肯定會盡快把這張通知拿掉。
A typewritten notice: "Will whoever rear-ended my 1965 yellow Jaguar please come forward and admit it? Let's work out the insurance problems together. 555-7627."	一張打字通知：「哪位撞上我 1965 年黃色 Jaguar 的人，請出面承認？我們一起處理保險問題。555-7627。」
That's okay, there are nicer posters of La Boheme available by mail-order.	沒關係，郵購目錄裡有更好看的《波希米亞人》海報。
An announcement: Lytton High School presents "La Boheme," now through the 24th.	公告：Lytton 高中演出《波希米亞人》，演出至 24 日。
You'll pass.	你會通過的。
If there's any hope at all of finding this lost cat, you'll ruin it by taking the notice down.	如果還有任何找回這隻失貓的希望，拿下公告就會毀掉它。
Someone lost a male Tabby in Cotton Cove.	有人在棉花灣弄丟了一隻公虎斑貓。
You don't hold out much hope. Lost domesticated pets rarely survive long on their own.	你不抱太大希望。走失的家養寵物很少能獨自在外面活太久。
A lot of your friends are on the Grunters. Leave the notice up; it may be the only 15 minutes of fame these officers ever get.	很多朋友都在「咕嚕隊」。把通知留著吧，這可能是這些警員唯一能出名十五分鐘的機會。
A message from Lieutenant Morgan, congratulating the Lytton Grunters on their recent victory over the Steelton Sows. You recall reading about the astounding victory in the latest issue of the Gazette.	這是 Morgan 中尉恭賀 Lytton「咕嚕隊」最近擊敗「鋼城母豬隊」的訊息。你記得自己在最新一期《公報》讀過那場驚人勝利。
This is one of the few important memos on the board! Best to leave it where it is.	這是佈告欄上少數重要的備忘錄之一！最好讓它留在原處。
A notice reminding all officers to replace their standard-issue LPD-29 map of Lytton with the new one in the Gazette.	這張通知提醒所有警員，把標準配發的 LPD-29 Lytton 地圖換成《公報》附的新地圖。
It's the elevator button, grimy but still functional.	這是電梯按鈕，雖然髒兮兮的，還是能用。
The cabinet doors are kept locked, but you're not missing much. Pushpins, yellow post-its, and other office paraphernalia are kept inside.	櫃門一直鎖著，但裡面沒什麼值得錯過的東西。裡頭放著圖釘、黃色便利貼和其他辦公雜物。
It's an official Lytton Police Department particle board storage cabinet, Item #42115-54.	這是 Lytton 警察局的官方塑合板儲藏櫃，物品編號 42115-54。
No, no, no. Push the button, Bonds.	不、不、不。按按鈕，Bonds。
The elevator numbers tell you which floor the elevator is on.	電梯上的數字顯示目前所在樓層。
Knocking on the doors won't make it work any faster. Just press the button.	敲門不會讓它快一點。按按鈕就好。
The elevator doors are closed.	電梯門關著。
This door leads to the Evidence Lockup.	這扇門通往證物保管室。
You don't need to write a memo at this time.	你現在不需要寫備忘錄。
You've already submitted one transfer request; there's no point in filling out another. If you did, they'd probably transfer you back again.	你已經提交過一份調職申請，再填一份也沒有意義。真這麼做的話，他們大概會把你調回原單位。
Paperwork?! NOW?! You're off duty. Who wants to do paperwork when they're off duty? Do it on Police time.	文書工作？！現在？！你已經下班了。誰想在下班後處理文書？上班時間再做。
Summoning up your best grammar, you write a memo to Lt. Morgan requesting a transfer to Narcotics.	你使出最好的文法，寫了一份備忘錄給 Morgan 中尉，申請調往緝毒組。
This memo slot holds Transfer Request forms, Item #46471-32.	這個文件槽放著調職申請表，品號 #46471-32。
Since you're interested in the position, you briefly consider pulling the memo down before anybody else can apply. But you're too much of a straight-shooter to resort to such underhanded tactics...for now.	既然你對這個職缺有興趣，你短暫考慮過在別人申請前把備忘錄取下。但你太正直了，暫時還不會使這種卑鄙手段……
The memo indicates that applications are being accepted for a position in the Narcotics Unit.	備忘錄表示緝毒組正在接受職位申請。
test1	test1
test2	test2
test3	test3
test4	test4
You'd better get changed and get your butt to the Blue Room, Sonny. You're supposed to be at Jack's surprise party!	你最好換好衣服，趕快到藍房去，Sonny。你還得參加傑克的驚喜派對！
Maybe another time. You've got other tasks to handle currently.	下次再說吧。你目前還有其他工作要處理。
Sonny! Dooley wants you in his office, pronto! He's foaming about something...what'd you do this time?	Sonny！Dooley 要你立刻去他的辦公室！他氣得直冒泡……你這次又做了什麼？
Hey, Sonny, Dooley wasn't kidding when he said he wanted to see you ASAP. He's having conniptions. You better move it.	嘿，Sonny，Dooley 說要見你可不是開玩笑。他快抓狂了。你最好動作快點。
Hmmm...a chance to do something other than routine patrol. Maybe I should fill out one of those Narcotics Unit transfer applications.	嗯……終於有機會做點例行巡邏以外的事。也許我該填一份緝毒組調職申請。
Hey, Sonny, I saw the write-up in the paper. I suppose your head's gonna swell. Don't forget, you've gotta fit it in the door of the Blue Room for Jack's surprise party tonight. See ya!	嘿，Sonny，我在報紙上看到你的報導了。你大概快得意忘形了。別忘了今晚得準時到 Blue Room 參加 Jack 的驚喜派對。回頭見！
You'd better fill out one of those transfer forms soon. This opportunity's too good to miss. Not much room for advancement in a small town like Lytton.	你最好快點填一份調職表。這個機會不能錯過。在 Lytton 這種小城，升遷空間可不大。
You don't have any need for those patrol car keys nor should you remove them from the premises when off duty, Bonds.	你不需要那些巡邏車鑰匙，而且下班時也不該把它們帶離警局，Bonds。
Since you are now a member of the Narcotics Unit, you won't have any need for those patrol car keys. Returning them will allow someone else to use the unit.	你現在已經是緝毒組成員，不再需要那些巡邏車鑰匙。把鑰匙歸還，其他人才能使用這輛車。
You're off duty and shouldn't be leaving the station with departmental property. Return the radio extender, Bonds.	你已經下班，不該帶著警局財產離開。把無線電延伸器交回來，Bonds。
You'd better leave the radio extender behind. If you get patted down, it could lead to blown cover and a premature ending to what you thought might be a promising career.	你最好把無線電延伸器留下。要是被搜身，臥底身分可能曝光，你以為前途光明的警察生涯也會提前結束。
You better get your radio extender. No good officer should leave their station without one.	你最好拿上無線電延伸器。稱職的警員不該不帶它就離開警局。
You'd better not leave now! You're almost late for your briefing as it is.	你現在最好別走！照目前的情況，你的簡報已經快遲到了。
Hey! Remember what Laura said about Narcotics. You'll be passing up a big opportunity for advancement.	嘿！記得 Laura 說過的緝毒組。你會錯過一個大好的升遷機會。
Hi, Sonny. Did you fill out that request form yet? Morgan wants to make a decision soon.	嗨，Sonny。你填好那份申請表了嗎？Morgan 很快就要做決定。
How's it goin', Sonny? I'd like to shoot the bull, but Dooley's gonna deep-fry my huevos if I'm late for one more briefing this week. Later, hot shot.	最近如何，Sonny？我本想和你閒聊，但這週再遲到一次簡報，Dooley 就要把我的蛋蛋炸熟了。待會見，明星！
Hi, Sonny!	嗨，Sonny！
How's it goin, Sonny?	最近過得怎樣，Sonny？
Hands off the officers, Bonds. They're departmental property.	別碰警員，Bonds。他們是警察局的財產。
Another one of Lytton's finest. You like your co-workers, and most of the time, you think that they like you.	Lytton 警局的另一名菁英。你喜歡同事，而且大多時候，你相信他們也喜歡你。
You don't have time to chat, Bonds.	你沒時間聊天，Bonds。
Seems like a good, solid hallway.	看起來是一條結實可靠的走廊。
This is the main hallway, which conveniently links several rooms together allowing you access to them all with a minimum of effort.	這是主走廊，方便地連接數個房間，讓你不用費多少力氣就能通往各處。
This door leads to the briefing room.	這扇門通往簡報室。
This door leads to Sgt. Dooley's office.	這扇門通往 Dooley 警佐的辦公室。
The doors are locked.	門鎖著。
Officer Billings keeps batteries for the radios in here. Since he checks the extenders each morning, there's nothing of interest to you.	Billings 警官把無線電電池放在這裡。既然他每天早上都會檢查延伸器，這裡沒有你感興趣的東西。
You take the keys for your patrol car.	你拿起巡邏車鑰匙。
You're a narcotics officer now. You don't need those squad car keys anymore.	你現在是緝毒警官，不再需要那些巡邏車鑰匙。
You already have the key to the squad car.	你已經有巡邏車的鑰匙了。
The board holds keys to the department's cars.	這面板上掛著警局各輛車的鑰匙。
This door leads to the locker room.	這扇門通往更衣室。
That radio is assigned to another officer.	那台無線電配給其他警員了。
Don't take a police radio extender undercover! If the find it on you, you're dead meat.	臥底時別帶警用無線電延伸器！要是被搜出來，你就完了。
One radio extender is plenty.	一台無線電延伸器就夠了。
The radios provide communication with the station when you're away from the car radio or you're patrolling on foot.	當你離開車上的無線電，或徒步巡邏時，無線電能讓你和警局保持聯絡。
The doors are in front.	門就在前面。
The side of the cabinet is scuffed, and the plastic paneling is starting to peel. The LPD budget being what it is, cosmetic appearance is considered unimportant.	櫃子側面滿是刮痕，塑膠面板也開始剝落。考量 LPD 的預算，外觀自然不重要。
Boy, I bet Dooley's really pissed.	天啊，我敢打賭 Dooley 氣壞了。
You're not kiddin'. He's mad enough to lay an egg himself.	你沒說錯。他氣到都快生蛋了。
Hey, don't forget Jack's little surprise party. We'll see you at the Blue Room after you change out of your blues.	嘿，別忘了 Jack 的小驚喜派對。你換下制服後，藍屋見。
Hey, Sonny, you gotta see this! Dooley's really got his hands full! I don't know who this 'Gremlin' is but I sure am enjoying the grief he's causing Dooley.	嘿，Sonny，你一定要來看看！Dooley 真是忙得不可開交！我不知道這個「Gremlin」是誰，但他給 Dooley 找的麻煩真讓我開心。
Oh, geez! I'm supposed to see Dooley PRONTO! He's gonna take a few pounds offa my hide if I don't get in there.	喔，天啊！我得馬上去見 Dooley！要是我不進去，他會狠狠教訓我一頓。
Well, I hope he's got time to see you. He looks busier than a one-legged man at a butt-kicking contest. Damn, I crack myself up!	嗯，希望他有時間見你。他忙得像單腿的人參加踢屁股比賽。天啊，我真會逗自己笑！
Sonny! Dooley wants to see you ASAP! He didn't look too happy either, buddy. It's been nice workin' with ya'. Ha ha!	Sonny！Dooley 要你立刻去見他！夥計，他看起來也不太高興。跟你共事很愉快。哈哈！
Sonny! Dooley was lookin' for you. He said he has something important to tell you. Maybe you've been promoted to Head Donut Fetcher! <snicker>	Sonny！Dooley 正在找你。他說有重要的事要告訴你。也許你升官成為首席甜甜圈採買員了！<竊笑>
And, Mr. Mayor, this is the rest of the downstairs area of our facility. As you can see, we keep a...	市長先生，這裡是我們設施一樓剩下的區域。如您所見，我們保存著……
BONDS, WHERE THE HELL HAVE YOU... ah.. pardon me, Mr. Mayor.	Bonds，你到底跑哪裡去了……啊……抱歉，市長先生。
I'm currently conducting a tour of the department for the Mayor. But I'm gonna have a little chat with you...LATER.	我目前正在帶市長參觀警察局。不過我之後會和你談談……晚點再說。
Get dressed and be in my office in 30 minutes. When I'm through with you, you're gonna need a PLUMBER to help you swallow your LUNCH!	穿好衣服，三十分鐘內到我辦公室。等我教訓完你，你得找水管工幫你把午餐吞下去！
I'm sorry about this incident, Mr. Mayor. As I'm sure you're aware, no matter how fine a group of individuals we employ, there's always got to be one screw-up. We'll have one less in 30 minutes, I can assure you. Anyway, as I was saying...	市長先生，很抱歉發生這起事件。您一定知道，不管我們雇用的團隊多麼優秀，總會有一個害群之馬。我保證三十分鐘後就會少一個。總之，剛才說到……
You don't want to interrupt Dooley and his new friend, do you? They make such a fun couple.	你不會想打斷 Dooley 和他的新朋友吧？他們真是有趣的一對。
Only uniformed officers are allowed in the briefing room.	只有穿制服的警員可以進入簡報室。
You take your radio.	你拿起自己的無線電。
The radio transmitters are kept here.	無線電發射器放在這裡。
You don't have time to be sitting around, Bonds. There's work to be done!	你沒時間坐在這裡閒晃，Bonds。還有工作要做！
You take the towel, then remove your uniform and hang it in the locker.	你拿起毛巾，脫下制服掛進置物櫃。
You remove your leisure suit and place it in the locker, taking the towel. Are you ever glad to be out of THAT thing!	你脫下休閒服放進置物櫃，拿出毛巾。能脫掉那件東西真是太好了！
You take the towel and remove your street clothes, placing them in the locker.	你拿起毛巾，脫下便服放進置物櫃。
The benches are old, and notorious for splinters.	長椅很老舊，出了名容易扎刺。
These are the keys to your Camaro.	這是你的 Camaro 車鑰匙。
You grab your street clothes and slide them on. Ah, much better!	你拿起便服穿上。啊，舒服多了！
All patrol officers MUST wear a regulation uniform when on duty. Wait till you're off duty to put on your street duds.	所有巡邏警員值勤時都必須穿著規定制服。下班後才能換上便服。
You hang up your street duds.	你把便服掛起來。
This isn't a fashion show. You don't need those now, anyway.	這不是時裝秀。而且你現在也用不到那些東西。
These are your street clothes.	這是你的便服。
It's the combination lock for your locker. To use it, click your hand on the dial beside the digit you wish to change. Dial the correct combination and then click your hand on the locker handle to open the locker.	這是你置物櫃的密碼鎖。使用時，用手游標點擊要更改的數字旁轉盤。轉到正確密碼後，再用手游標點擊置物櫃把手開櫃。
Officer Morris can wash himself, thank you very much.	Morris 警官會自己洗澡，謝謝關心。
Officer Morris Fudley of the Traffic Division. Boy, does this guy love to take showers!	交通科的 Morris Fudley 警官。天啊，這傢伙真愛洗澡！
Bismillah, NO! We will not let you go, let me go! Bismillah, NO! We will not let you go, let me go! Will not let you go...	以真主之名，不行！我們不會放你走，放我走！以真主之名，不行！我們不會放你走，放我走！不會放你走……
Officer Morris is too busy singing to talk to you.	Morris 警官忙著唱歌，沒空跟你說話。
Hey! Watch it, hairy!	嘿！小心點，毛人！
Hey, wake up, Bonds.	嘿，醒醒，Bonds。
I'd love to dance with you, Bonds, but unfortunately, I have to go out and be a cop. Maybe some other time.	我很想和你跳舞，Bonds，但很遺憾，我得出去當警察。下次吧。
Sonny, if you're this coordinated on the firing range, remind me to be out of town the next time you go to practice!	Sonny，如果你在靶場也這麼協調，下次你要練習時記得提醒我離開城裡！
Hey, dude, keep outta my personal space, okay?	嘿，老兄，離我的私人空間遠點，好嗎？
He doesn't need any help adjusting his uniform.	他不需要任何人幫忙整理制服。
A proud member of the LPD.	LPD 引以為傲的一員。
Ugh, wouldn't THAT be a horrible sight, ha ha! Later, Sonny.	呃，那畫面一定很可怕，哈哈！回頭見，Sonny。
Hey Sonny, You smell like a goat. Take a shower, dude.	嘿，Sonny，你聞起來像山羊。去洗澡吧，老兄。
My poor old dog has no nose.	我那可憐的老狗沒有鼻子。
